abs_error_mean,abs_error_median,abs_error_se,abs_error_std,algorithm,amplification_factor_median,budget,estimate_mean,estimate_se,estimate_std,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_q25,normalized_abs_error_q75,normalized_abs_error_se,normalized_abs_error_std,run_kind,success_rate,total_repetitions
0.014157863036574958,0.014157863036574958,0.0,0.0,BIQAE,7.0,2048,0.34611494229383793,0.0,0.0,3.0,0.014157863036574958,0.014157863036574958,1,1,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.0,0.0,hardware_replay,0.0033333333333333335,300
0.011012146967534676,0.0088186951708214,0.0005008831150655254,0.008675550039468582,CABIQAE,3.0,2048,0.3575507452274437,0.0007947824300479658,0.013766035498061342,1.0,0.011993766029526561,0.010062064201557114,300,300,0.03329078923547076,0.027929013938004586,0.0305661343421001,0.024477826359204688,0.02838310506740654,0.020409162318114,0.013270404714124575,0.039416452023258684,0.0013902884360260169,0.024080502083725343,hardware_replay,1.0,300
0.011057944674903435,0.0045689896656906925,0.0021995726818016662,0.016312467595034467,BAE,13.0,4096,0.35901992710506386,0.002659597977285543,0.01972410649542773,6.0,0.015511797798385239,0.0072794662967599595,55,55,0.04305569992761202,0.020205428189573795,0.030693253865669904,0.012682027613770035,0.01641385770579555,0.00953197620276948,0.0038576282061746434,0.02775123008888595,0.0061052975668935035,0.04527809857886443,hardware_replay,0.18333333333333332,300
0.014157863036574958,0.014157863036574958,0.0,0.0,BIQAE,7.0,4096,0.34611494229383793,0.0,0.0,3.0,0.014157863036574958,0.014157863036574958,1,1,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.0,0.0,hardware_replay,0.0033333333333333335,300
0.005003294230689845,0.0028294335142741434,0.00033658864553372193,0.0058298863531519775,CABIQAE,11.0,4096,0.36234960783835846,0.0004273044056692891,0.007401129409172314,5.0,0.005710790335785119,0.004336315869086036,300,300,0.015851294494869373,0.012036200914773795,0.013887515673299931,0.00785358615030412,0.009123409430219727,0.006465095712166292,0.003559380072577727,0.015301154650573806,0.0009342604841490333,0.016181866260500236,hardware_replay,1.0,300
0.00625286754820155,0.002969838103975775,0.0012835549694033993,0.00951909842219361,BAE,15.0,8192,0.36073025007999715,0.0015387273378200533,0.011411507354793817,7.0,0.008873756763164469,0.004015596428405486,55,55,0.024630659411070958,0.011145988176161973,0.017355924332026477,0.00824330357450122,0.013270888321924754,0.005703252908198345,0.0038130341277330736,0.015073852926041827,0.0035627306596905843,0.026421917728326645,hardware_replay,0.18333333333333332,300
0.014157863036574958,0.014157863036574958,0.0,0.0,BIQAE,7.0,8192,0.34611494229383793,0.0,0.0,3.0,0.014157863036574958,0.014157863036574958,1,1,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.03929761788040182,0.0,0.0,hardware_replay,0.0033333333333333335,300
0.0023423617400323182,0.0017942265483459896,0.00012005834975734672,0.0020760029375197814,CABIQAE,11.0,8192,0.36042396870060217,0.0001809666655677965,0.0031292061740913276,5.0,0.0025897320057561993,0.002116499562889573,299,299,0.007188252811313661,0.005874713638040185,0.006501633499325864,0.004980188684240186,0.005715657796845235,0.004261711407817598,0.002362842034219606,0.009166909016115145,0.0003332428870040274,0.00576230819202643,hardware_replay,0.9966666666666667,300
0.001954153401619695,0.0016704207313293362,0.00019722555599322074,0.0014626638699735245,BAE,33.0,16384,0.3612161574345718,0.00030518027462923483,0.0022632774909967703,16.0,0.0023352400678661404,0.001572885235591583,55,55,0.006481866056263802,0.004365817270468307,0.0054240935555141465,0.004636544048328494,0.0062264251296982025,0.002943998477727338,0.0021422086296266993,0.007557264987897827,0.0005474339252787663,0.004059878648437227,hardware_replay,0.18333333333333332,300
0.0012751337545473427,0.000959314902385211,6.639837005611007e-05,0.0011442887892460173,CABIQAE,23.0,16384,0.3601956050506181,9.940692880633714e-05,0.0017131479900838484,11.0,0.0014116118409442156,0.0011449319968824796,297,297,0.003918174838785292,0.0031779584246788796,0.003539356109262518,0.002662745808708502,0.003185936141587886,0.002369911995690823,0.0013247363262975556,0.004785419946257571,0.0001843002554556259,0.003176173089713415,hardware_replay,0.99,300
0.0014035604914531747,0.0012983010765728609,0.00012492030783268715,0.000926433797956299,BAE,45.0,32768,0.3612127755970539,0.00018900874218884728,0.0014017263478687833,22.0,0.001648103448719122,0.001169536199352461,55,55,0.004574598538481458,0.003246251679417928,0.003895826914179501,0.003603661051747064,0.0043727212350054365,0.0024426299056141544,0.002021920916127954,0.005267031336108388,0.00034673809953021683,0.0025714785691544196,hardware_replay,0.18333333333333332,300
0.0009241479182268421,0.0007562127414954545,4.0818170212817915e-05,0.0006915036562470073,CABIQAE,23.0,32768,0.3602622514841955,6.820498655653052e-05,0.0011554657480287583,11.0,0.0010080818796182867,0.0008466790054669646,287,287,0.0027981070586045372,0.002350105233978067,0.002565133711325474,0.0020990003417047194,0.0023676287602186923,0.0019735789071074123,0.0011783643425480582,0.0034908040410047423,0.00011329794980052075,0.001919388990831035,hardware_replay,0.9566666666666667,300
0.0008737082174169656,0.0008575066100363071,9.011707623086067e-05,0.0006683261244047934,BAE,45.0,65536,0.3608175159655238,0.0001294715108311426,0.0009601864227479095,22.0,0.0010478384643618462,0.0007095959695908454,55,55,0.0029084583928027934,0.0019696073616771097,0.0024251295254319057,0.0023801591387112102,0.0027620442394375696,0.0012169836685210135,0.0008712719769205865,0.0035776267871855377,0.0002501356608035197,0.001855055709219737,hardware_replay,0.18333333333333332,300
0.0007150839182029293,0.0005305450295139402,0.00010104355266955812,0.000562586691647304,CABIQAE,33.0,65536,0.36039548945552646,0.0001635631989578881,0.0009106813502282058,16.0,0.000911907801208624,0.0005224721434584943,31,31,0.0025311591319591726,0.001450212549291156,0.0019848401201059645,0.0014726202523872639,0.0025402124682365633,0.0010756846358621563,0.0006992938789771275,0.003273816166842295,0.00028046400165255105,0.001561557473457774,hardware_replay,0.10333333333333333,300
