profile,scenario_id,objective_ry_offset,a_true,rep,budget,algorithm,estimate,abs_error,normalized_abs_error,k_max_budget,time_to_budget_seconds
realistic,1,0.3,0.3602728053304129,2,128,BIQAE,0.4251347216280199,0.06486191629760701,0.18003556010318608,1,0.01298932222287274
realistic,1,0.3,0.3602728053304129,2,128,BAE,0.4443273077165868,0.0840545023861739,0.23330792983135643,1,0.3137203004514605
realistic,1,0.3,0.3602728053304129,2,253,CABIQAE_latentt,0.3322070220860555,0.02806578324435738,0.07790147585138359,1,0.032117406676551066
realistic,1,0.3,0.3602728053304129,2,253,BIQAE,0.4251347216280199,0.06486191629760701,0.18003556010318608,1,0.0256742072061469
realistic,1,0.3,0.3602728053304129,2,253,BAE,0.4443273077165868,0.0840545023861739,0.23330792983135643,1,0.6200877813610898
realistic,1,0.3,0.3602728053304129,2,499,CABIQAE_latentt,0.3320180765204003,0.02825472881001262,0.07842592721951268,1,0.0633461894529604
realistic,1,0.3,0.3602728053304129,2,499,BIQAE,0.4251347216280199,0.06486191629760701,0.18003556010318608,1,0.05063806085323045
realistic,1,0.3,0.3602728053304129,2,499,BAE,0.3839799183757744,0.023707113045361494,0.06580322659552186,3,1.2230189837912404
realistic,1,0.3,0.3602728053304129,2,986,CABIQAE_latentt,0.3320180765204003,0.02825472881001262,0.07842592721951268,1,0.125169023648535
realistic,1,0.3,0.3602728053304129,2,986,BIQAE,0.36259310142692847,0.0023202960965155728,0.006440386457666673,3,0.10005837274806659
realistic,1,0.3,0.3602728053304129,2,986,BAE,0.3839799183757744,0.023707113045361494,0.06580322659552186,3,2.4166266894151565
realistic,1,0.3,0.3602728053304129,2,1947,CABIQAE_latentt,0.373662753403632,0.013389948073219082,0.03716613598114604,9,0.2471643905108495
realistic,1,0.3,0.3602728053304129,2,1947,BIQAE,0.36259310142692847,0.0023202960965155728,0.006440386457666673,3,0.19757976849947834
realistic,1,0.3,0.3602728053304129,2,1947,BAE,0.3839799183757744,0.023707113045361494,0.06580322659552186,3,4.771979882648387
realistic,1,0.3,0.3602728053304129,2,3846,CABIQAE_latentt,0.3759968566897477,0.0157240513593348,0.04364484670141556,9,0.4882353599921557
realistic,1,0.3,0.3602728053304129,2,3846,BIQAE,0.3710900106356553,0.010817205305242383,0.030025039762081745,13,0.39028854116537937
realistic,1,0.3,0.3602728053304129,2,3846,BAE,0.37130301593742876,0.011030210607015867,0.03061627312363989,13,9.426314652627477
realistic,1,0.3,0.3602728053304129,2,7595,CABIQAE_latentt,0.3702660716420244,0.009993266311611515,0.027738053396637874,9,0.964156931653776
realistic,1,0.3,0.3602728053304129,2,7595,BIQAE,0.3710900106356553,0.010817205305242383,0.030025039762081745,13,0.770733611583738
realistic,1,0.3,0.3602728053304129,2,7595,BAE,0.368481795137424,0.008208989807011124,0.022785482794024675,13,18.61488814006908
realistic,1,0.3,0.3602728053304129,3,128,CABIQAE_latentt,0.38813821009667054,0.02786540476625765,0.07734529044095285,1,0.01590606854615031
