run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,budget,query_budget_actual,estimate,a_true,abs_error,normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,grover_power,grover_power_exceeds_calibration,k_max_budget,amplification_factor,t_eff,calibration_status,runtime_wall_seconds,time_to_budget_seconds,n_shots,max_grover_power,calibration_max_grover_power,execution_max_grover_power,execution_k_cap_enforced,cabiqae_hard_k_cap,cabiqae_scheduler,transpile_backend_name,use_fractional_gates_applied,transpilation_strategy,aer_method,normalized_sq_error
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,1,CABIQAE,cabiqae_latentt,16384,16256.0,0.10732774871238976,0.1328730942948926,0.02554534558250285,0.19225371184484236,0.5864946085782612,0.4737388431021025,0.11275576547615868,0.19225371184484244,0.5864946085782612,0.4737388431021025,0.11275576547615868,0.19225371184484244,3,False,3,7,6.2225929620762646,ok,32.503928291846954,32.503928291846954,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.036961489718119675
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,1,BIQAE,biqae,1024,640.0,0.090002821703216,0.1328730942948926,0.04287027259167661,0.3226407333943187,0.5864946085782612,0.3972675579347571,0.1892270506435041,0.32264073339431876,0.5864946085782612,0.3972675579347571,0.1892270506435041,0.32264073339431876,1,False,1,3,6.2225929620762646,ok,2.538078000022021,2.538078000022021,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.10409704284522384
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,1,BIQAE,biqae,2048,640.0,0.090002821703216,0.1328730942948926,0.04287027259167661,0.3226407333943187,0.5864946085782612,0.3972675579347571,0.1892270506435041,0.32264073339431876,0.5864946085782612,0.3972675579347571,0.1892270506435041,0.32264073339431876,1,False,1,3,6.2225929620762646,ok,2.538078000022021,2.538078000022021,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.10409704284522384
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,2,CABIQAE,cabiqae_latentt,1024,896.0,0.12431501519538596,0.1328730942948926,0.00855807909950665,0.0644079160263494,0.5864946085782612,0.5487197130790459,0.03777489549921531,0.0644079160263494,0.5864946085782612,0.5487197130790459,0.03777489549921531,0.0644079160263494,1,False,1,3,6.2225929620762646,ok,1.8456070733295442,1.8456070733295442,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.004148379646857277
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,2,CABIQAE,cabiqae_latentt,2048,1792.0,0.11831525384056178,0.1328730942948926,0.014557840454330825,0.10956198868991343,0.5864946085782612,0.5222370929065145,0.06425751567174665,0.10956198868991342,0.5864946085782612,0.5222370929065145,0.06425751567174665,0.10956198868991342,3,False,3,7,6.2225929620762646,ok,3.6912141466590884,3.6912141466590884,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.012003829365688718
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,2,CABIQAE,cabiqae_latentt,4096,3584.0,0.1126575453443931,0.1328730942948926,0.020215548950499512,0.15214177902438267,0.5864946085782612,0.4972642754409555,0.08923033313730566,0.15214177902438275,0.5864946085782612,0.4972642754409555,0.08923033313730566,0.15214177902438275,3,False,3,7,6.2225929620762646,ok,7.382428293318177,7.382428293318177,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.023147120924704084
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,2,CABIQAE,cabiqae_latentt,8192,8064.0,0.10660320482942265,0.1328730942948926,0.02626988946546996,0.1977066132528512,0.5864946085782612,0.47054074582519656,0.11595386275306463,0.1977066132528512,0.5864946085782612,0.47054074582519656,0.11595386275306463,0.1977066132528512,3,False,3,7,6.2225929620762646,ok,16.610463659965898,16.610463659965898,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.039087904923912474
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,2,BIQAE,biqae,1024,512.0,0.0875289661078392,0.1328730942948926,0.04534412818705341,0.3412589164697157,0.5864946085782612,0.38634809393951375,0.20014651463874744,0.3412589164697157,0.5864946085782612,0.38634809393951375,0.20014651463874744,0.3412589164697157,1,False,1,3,6.2225929620762646,ok,2.144611952949644,2.144611952949644,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.11645764807008438
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,2,BIQAE,biqae,2048,512.0,0.0875289661078392,0.1328730942948926,0.04534412818705341,0.3412589164697157,0.5864946085782612,0.38634809393951375,0.20014651463874744,0.3412589164697157,0.5864946085782612,0.38634809393951375,0.20014651463874744,0.3412589164697157,1,False,1,3,6.2225929620762646,ok,2.144611952949644,2.144611952949644,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.11645764807008438
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,3,CABIQAE,cabiqae_latentt,1024,896.0,0.11255277483411086,0.1328730942948926,0.02032031946078175,0.15293027959207256,0.5864946085782612,0.49680182410914453,0.08969278446911666,0.1529302795920726,0.5864946085782612,0.49680182410914453,0.08969278446911666,0.1529302795920726,1,False,1,3,6.2225929620762646,ok,1.8777451913034464,1.8777451913034464,128,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.023387670416109486
