run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,final_queries,final_estimate,a_true,final_abs_error,final_normalized_abs_error,min_abs_error,min_normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,min_processed_abs_error,min_processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,ci_low,ci_high,processed_ci_low,processed_ci_high,cva_ci_low,cva_ci_high,coverage,k_max,k_max_exceeds_calibration,amplification_factor_max,t_eff,calibration_status,runtime_wall_seconds,circuit_prepare_wall_seconds,construct_circuit_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,n_shots,max_queries_requested,max_queries_reached,max_grover_power,calibration_max_grover_power,execution_max_grover_power,execution_k_cap_enforced,cabiqae_hard_k_cap,cabiqae_scheduler,transpile_backend_name,use_fractional_gates_applied,transpilation_strategy,aer_method,construct_circuit_mode
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,10,CABIQAE,cabiqae_latentt,17792.0,0.1038616075270028,0.1328730942948926,0.02901148676788981,0.2183398145564595,0.002260169685424307,0.017009987593185626,0.5864946085782612,0.4584394845029203,0.12805512407534086,0.21833981455645954,0.009976266015386481,0.017009987593185623,0.5864946085782612,0.4584394845029203,0.12805512407534086,0.21833981455645954,0.09891788573016434,0.10880532932384124,0.4366181654801117,0.4802608035257289,0.4366181654801117,0.4802608035257289,0.0,3,False,7,6.2225929620762646,ok,36.199080799589865,7.610040483996272e-05,7.610040483996272e-05,23,0,9,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,10,BIQAE,biqae,2432.0,0.05710741050602618,0.1328730942948926,0.07576568378886643,0.5702108782137297,0.00018241171248700727,0.0013728265564597365,0.5864946085782612,0.25206900275323324,0.33442560582502795,0.5702108782137297,0.0008051553738767092,0.0013728265564597602,0.5864946085782612,0.25206900275323324,0.33442560582502795,0.5702108782137297,0.05346447772474365,0.0607503432873087,0.23598929566901777,0.26814870983744865,0.23598929566901777,0.26814870983744865,0.0,7,False,15,6.2225929620762646,ok,9.840895100031048,9.299954399466515e-06,9.299954399466515e-06,3,0,9,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,11,CABIQAE,cabiqae_latentt,14464.0,0.10499912004393819,0.1328730942948926,0.02787397425095442,0.20977892024620248,0.000545454781368998,0.00410508074839019,0.5864946085782612,0.46346040286049434,0.12303420571776685,0.2097789202462026,0.0024076077267093376,0.0041050807483903225,0.5864946085782612,0.46346040286049434,0.12303420571776685,0.2097789202462026,0.10000710809047145,0.10999113199740493,0.44142593371380107,0.48549487200718766,0.44142593371380107,0.48549487200718766,0.0,3,False,7,6.2225929620762646,ok,30.13556370011065,6.229989230632782e-05,6.229989230632782e-05,19,0,9,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,11,BIQAE,biqae,3968.0,0.21854276620385243,0.1328730942948926,0.08566967190895983,0.6447480760764733,0.05981369633070485,0.45015656968112,0.5864946085782612,0.9646358790883193,0.3781412705100581,0.6447480760764731,0.26401440113406116,0.4501565696811199,0.5864946085782612,0.9646358790883193,0.3781412705100581,0.6447480760764731,0.2146513733471794,0.2224341590605255,0.9474594827500696,0.981812275426569,0.9474594827500696,0.981812275426569,0.0,12,False,25,6.2225929620762646,ok,18.447257999971043,9.90001717582345e-06,9.90001717582345e-06,3,0,9,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,12,CABIQAE,cabiqae_latentt,4992.0,0.11859202249197845,0.1328730942948926,0.014281071802914158,0.10747903387588299,0.0012642115208728044,0.00951442824133432,0.5864946085782612,0.5234587346748555,0.0630358739034057,0.10747903387588305,0.00558016086724733,0.009514428241334328,0.5864946085782612,0.5234587346748555,0.0630358739034057,0.10747903387588305,0.11397505715440576,0.12320898782955114,0.5030797008843917,0.5438377684653193,0.5030797008843917,0.5438377684653193,0.0,3,False,7,6.2225929620762646,ok,11.912240300036501,2.6099965907633305e-05,2.6099965907633305e-05,9,0,9,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,12,BIQAE,biqae,2176.0,0.07767253754430878,0.1328730942948926,0.05520055675058383,0.4154381821505126,0.007319459231970082,0.05508609000800118,0.5864946085782612,0.3428423545494319,0.24365225402882928,0.41543818215051265,0.03230769479734952,0.05508609000800118,0.5864946085782612,0.3428423545494319,0.24365225402882928,0.41543818215051265,0.0728441254081553,0.08250094968046225,0.32153000609487564,0.3641547030039881,0.32153000609487564,0.3641547030039881,0.0,6,False,13,6.2225929620762646,ok,8.574014600017108,9.499955922365189e-06,9.499955922365189e-06,3,0,9,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,13,CABIQAE,cabiqae_latentt,17792.0,0.10510088735792109,0.1328730942948926,0.027772206936971522,0.20901302166814245,0.0231018422679843,0.17386395937098523,0.5864946085782612,0.4639095982472443,0.12258501033101687,0.20901302166814253,0.1019702747971527,0.17386395937098525,0.5864946085782612,0.4639095982472443,0.12258501033101687,0.20901302166814253,0.1001245117822515,0.11007726293359066,0.4419441472213707,0.4858750492731179,0.4419441472213707,0.4858750492731179,0.0,3,False,7,6.2225929620762646,ok,35.69760320009664,7.629994070157409e-05,7.629994070157409e-05,23,0,9,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,13,BIQAE,biqae,4096.0,0.21827793413378827,0.1328730942948926,0.08540483983889566,0.6427549557124934,0.030432158730193615,0.229031760656178,0.5864946085782612,0.9634669247405976,0.3769723161623364,0.6427549557124933,0.1343258928180351,0.22903176065617795,0.5864946085782612,0.9634669247405976,0.3769723161623364,0.6427549557124933,0.2143884761121084,0.22216739215546816,0.9462990686587331,0.980634780822462,0.9462990686587331,0.980634780822462,0.0,12,False,25,6.2225929620762646,ok,18.468123500002548,1.2599979527294636e-05,1.2599979527294636e-05,4,0,9,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,14,CABIQAE,cabiqae_latentt,5632.0,0.11842298608165078,0.1328730942948926,0.01445010821324183,0.10875119820098346,0.008461506204682515,0.06368111053320867,0.5864946085782612,0.5227126171569585,0.0637819914213027,0.10875119820098346,0.03734862799600325,0.06368111053320874,0.5864946085782612,0.5227126171569585,0.0637819914213027,0.10875119820098346,0.11377502237271848,0.12307094979058307,0.5021967582419381,0.5432284760719788,0.5021967582419381,0.5432284760719788,0.0,3,False,7,6.2225929620762646,ok,11.61232990003191,3.899994771927595e-05,3.899994771927595e-05,14,0,9,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,1.0,0.18518,6q_instance,cva,14,BIQAE,biqae,2176.0,0.07836859742053479,0.1328730942948926,0.05450449687435782,0.41019965075392145,0.022320624660886024,0.167984532755357,0.5864946085782612,0.34591472497040054,0.24057988360786065,0.4101996507539215,0.09852202278555511,0.16798453275535685,0.5864946085782612,0.34591472497040054,0.24057988360786065,0.4101996507539215,0.07353131611553537,0.08320587872553419,0.3245632284871308,0.36726622145367027,0.3245632284871308,0.36726622145367027,0.0,6,False,13,6.2225929620762646,ok,9.405176999978721,9.90001717582345e-06,9.90001717582345e-06,3,0,9,128,32768,False,14,14,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
