rep,algorithm,a_true,final_queries,final_nRMSE,K_max,K_sequence,coverage,radius,bias,abs_rel_error,max_depth
7,IQAE,0.26758966392750655,8627,0.0006074001165692344,385,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 21 21 21 21 21 21 21 21 21 21 21 21 21 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 91 189 189 189 189 189 189 189 189 189 189 189 189 189 189 385 385 385 385 385 385 385 385,1.0,0.000962128590717648,0.0001625339930623193,0.0006074001165693449,194.0
7,CABIQAE_latentt,0.26758966392750655,4991,0.0007750550867926531,443,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 9 9 9 9 9 9 9 9 9 9 21 21 21 21 21 47 47 47 47 99 99 99 99 99 99 99 209 209 209 209 209 209 209 209 209 209 209 209 443 443 443,1.0,0.0009035358497162804,0.00020739673020014893,0.0007750550867926474,223.0
8,BAE_legacy,0.3366805359040037,962,0.0018272785579680484,97,13 7 7 23 15 33 35 45 5 65 87 87 69 93 93 5 87 93 97,1.0,0.005328184714774475,0.001994327402396301,0.00592350073651105,97.0
8,BAE_hardware,0.3366805359040037,1088,0.006526558882970379,197,1 9 15 17 29 5 27 37 61 31 23 21 83 95 53 93 97 95 197,1.0,0.005129871434803757,-0.0021973653423275064,0.006526558882970389,197.0
8,BIQAE,0.3366805359040037,8039,0.001391827638523413,359,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 19 19 19 19 19 19 19 19 19 39 39 39 39 39 39 39 39 39 39 39 39 39 85 85 85 85 85 85 85 85 85 85 85 85 85 179 179 179 179 179 179 179 179 179 179 179 179 179 179 179 359 359 359 359 359 359 359 359 359,1.0,0.0009639792031612693,-0.0004686012752240787,0.0013918276385234487,181.0
8,IQAE,0.3366805359040037,9621,0.0005600583763814004,603,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 27 27 27 27 27 27 27 27 27 27 27 27 27 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 133 133 133 133 133 133 133 133 133 133 133 133 133 133 133 283 283 283 283 283 283 283 283 283 283 283 283 283 283 603 603 603,1.0,0.000951287212825197,-0.00018856075429762864,0.0005600583763814376,303.0
8,CABIQAE_latentt,0.3366805359040037,5737,0.07058981574036338,565,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 13 13 13 13 13 13 13 13 31 31 31 31 31 65 65 65 65 65 65 65 65 137 137 137 137 137 137 137 137 137 277 277 277 277 277 277 277 277 277 565 565,0.0,0.0009623014817142783,-0.023766216992830436,0.07058981574036342,284.0
9,BAE_legacy,0.9176713206605386,936,0.001155173726268277,99,7 13 15 19 33 35 41 43 53 57 85 85 89 11 47 99 11 93 89,1.0,0.0028185266174317603,-0.0014170207549885072,0.0015441484582612189,99.0
9,BAE_hardware,0.9176713206605386,1033,0.0010439894126170746,197,1 13 11 17 23 35 53 57 69 95 11 99 59 95 99 197,1.0,0.003217261230850199,0.0009580391430318302,0.001043989412616965,197.0
9,BIQAE,0.9176713206605386,4893,0.0005650380981836456,181,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 19 19 19 19 19 19 19 19 19 19 19 19 19 41 41 41 41 41 41 41 41 41 41 41 41 41 41 89 89 89 89 89 89 89 89 89 89 89 89 89 89 181 181 181 181 181 181 181 181 181 181 181 181 181 181,1.0,0.0009770206146481053,0.0005185192577837894,0.0005650380981837374,92.0
