rep,T_noise,algorithm,a_true,final_queries,final_nRMSE,K_max,K_sequence,coverage,radius,max_depth,auc_log_rmse
5,20.0,BIQAE,0.46,11250,0.0004993769292792605,157,1 1 5 5 11 45 157,1.0,0.0011930853606414993,80.0,-7.545244162937866
5,20.0,CABIQAE_latentt,0.46,17750,0.020766194475537847,7,1 1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.002955983787439914,5.0,-4.8701234094714305
6,20.0,BAE,0.46,79300,0.00043765253633809564,39,5 11 7 31 35 35 33 9 35 37 35 37 33 11 39 37 37 35 35 35 37 37 37 37 39 37 37 39 37 35 35 35 35 37 35 39 37 35 33 35 37 37 35 35 35 35 35 35 37,1.0,0.0035324693980692823,39.0,-6.627812498856251
6,20.0,BIQAE,0.46,12250,0.001175626717173861,159,1 1 3 3 7 7 15 49 159,1.0,0.0011556368472143974,81.0,-6.45381033061742
6,20.0,CABIQAE_latentt,0.46,21950,0.03452945014681763,7,1 1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029844366119447796,5.0,-4.332682436478308
7,20.0,BAE,0.46,79000,0.005193548868797304,39,7 9 9 11 33 37 33 37 37 37 37 35 35 37 35 37 31 35 35 35 39 33 35 35 35 35 35 35 35 37 35 35 37 33 33 35 35 31 33 37 33 35 35 35 35 35 35 35 33,1.0,0.003395776410166862,39.0,-5.901770920095066
7,20.0,BIQAE,0.46,11800,0.0011018754292870803,167,1 3 9 9 47 167,1.0,0.0011116045827001542,85.0,-6.174254478694676
7,20.0,CABIQAE_latentt,0.46,19650,0.028407222111376806,7,1 1 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029985482673349495,5.0,-4.690235127657865
8,20.0,BAE,0.46,79800,0.004423624525683456,41,9 5 7 11 11 9 13 9 11 11 9 41 11 11 11 9 39 37 35 39 35 37 37 37 35 37 37 37 35 37 37 35 35 39 37 35 39 35 37 37 37 37 39 37 39 39 37 39 37 37 37 35 37 39 37,1.0,0.003467136620074751,41.0,-6.089895484083087
8,20.0,BIQAE,0.46,9200,0.0009967166743205524,127,1 1 5 11 39 127,1.0,0.0014495056574358456,65.0,-6.290796171291708
8,20.0,CABIQAE_latentt,0.46,22300,0.03467675515743873,7,1 3 3 3 3 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.00297415874604115,5.0,-4.172497571666749
9,20.0,BAE,0.46,79250,0.0022920741680882983,39,7 3 9 11 9 11 35 33 39 33 35 31 35 39 35 37 37 35 37 39 37 33 37 35 35 35 35 35 35 35 35 33 33 37 37 37 35 37 35 35 35 35 37 37 37 37 35 35 39 37,1.0,0.003487344833479955,39.0,-7.138650975770329
9,20.0,BIQAE,0.46,11100,0.0012938072439874215,153,1 3 9 9 47 153,1.0,0.0012050271402001822,78.0,-5.7671110562642545
9,20.0,CABIQAE_latentt,0.46,33350,0.013401058277204836,39,1 3 7 7 7 19 19 19 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39,0.0,0.0028843260366093193,21.0,-4.839366364098147
10,20.0,BAE,0.46,78300,0.002386364651645434,39,7 7 29 31 35 11 9 11 11 37 11 37 37 37 35 35 35 37 35 35 35 35 35 35 33 35 33 35 33 35 35 33 33 35 35 35 35 33 35 33 39 37 33 37 35 35 35 35 35 35 35,1.0,0.0034590089026738102,39.0,-5.741450306614526
10,20.0,BIQAE,0.46,11950,0.0017720238624669982,159,1 3 7 7 15 47 159,1.0,0.001170817802768065,81.0,-8.291906340299963
10,20.0,CABIQAE_latentt,0.46,25900,0.04133607426336261,7,1 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.002976381305174469,5.0,-3.9829425430142984
11,20.0,BAE,0.46,79600,0.006673070449794927,39,7 15 19 23 29 37 37 33 37 33 37 39 37 35 35 35 35 33 35 35 33 33 33 35 35 39 31 35 35 35 37 33 35 35 33 33 33 35 33 33 37 33 35 33 33 37 37 35 35,1.0,0.0034287561966742097,39.0,-5.481315444814906
11,20.0,BIQAE,0.46,9100,0.0014303087949290028,123,1 1 3 3 7 7 37 123,1.0,0.0015012038711548492,63.0,-6.192887052551779
11,20.0,CABIQAE_latentt,0.46,24850,0.037400603810701316,7,1 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029904794104080035,5.0,-4.361089394467374
12,20.0,BAE,0.46,79500,0.0010567375047934036,37,7 3 9 27 35 33 37 37 33 37 33 35 33 35 35 35 37 33 31 35 33 33 33 33 33 35 37 37 35 37 35 37 35 35 37 35 37 37 35 37 37 33 37 35 35 35 33 37 37,1.0,0.00350620768028026,37.0,-6.29057207255665
12,20.0,BIQAE,0.46,11700,0.0014836735756600383,167,1 3 9 9 45 167,1.0,0.001112616969997926,85.0,-6.266050680435233
12,20.0,CABIQAE_latentt,0.46,25250,0.03819358555582075,7,1 1 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029757476728584087,5.0,-4.679022413607916
1,20.0,BAE,0.47,79650,0.0002845975479504048,37,3 15 11 7 9 33 33 35 35 9 37 9 37 9 9 9 11 9 13 11 13 11 11 11 11 11 11 11 11 9 13 11 13 17 13 11 11 11 9 11 11 11 15 11 11 13 13 11 13 11 11 11 11 11 11 11 13 13 11 13 11 15 11 13 11 11 15 11 11 13 11 9 11 9 13 11 11 13 11 13 11 9 11 9 11 11 9 9 11 11 11 11 11 9 11 11 11 11 13 9 11 9 11 11 11 9 11 11 9 11 11 11 11 11 13 13 11 13 7 11 11 11 11 11 11 11 11 11 11 11 11 13,1.0,0.0023635923990720786,37.0,-5.511835124656088
1,20.0,BIQAE,0.47,15900,2.495137312386042e-05,223,1 3 3 9 9 9 61 223,1.0,0.0008282434494826796,113.0,-8.015397224684703
1,20.0,CABIQAE_latentt,0.47,13650,0.035870837743872896,7,1 3 3 3 3 3 3 3 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029330240491927118,5.0,-3.6708388914161136
2,20.0,BAE,0.47,79850,0.0025038438113601513,45,7 5 7 29 31 11 9 9 9 9 13 9 9 9 11 11 13 11 11 43 11 11 11 9 11 11 11 11 9 39 9 39 9 11 9 11 9 9 11 11 11 13 11 11 9 11 11 13 11 43 9 9 9 11 9 9 7 11 7 11 11 9 11 45 11 11 13 11 11 11 9 11 11 11 11 11 9 11 11 11 11 11 9 11 11 11 11 9 13 11 11 9 11 11 11 11 11 11 11 11 9 9 11 9 11 11 9 11 11 11 11 9 11 11 9 13 11 11 11 9 9 11 9 11 11 11 11 9 11 11 11 11 9 11 11 7,1.0,0.002295989541031329,45.0,-5.1189401981525595
2,20.0,BIQAE,0.47,14950,0.000218099486985035,213,1 3 9 9 9 55 213,1.0,0.0008798355633646282,108.0,-7.889527512867802
2,20.0,CABIQAE_latentt,0.47,7600,0.015985705813138518,7,1 1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029393094104070427,5.0,-5.01692169779621
3,20.0,BAE,0.47,79900,0.0014807293858228876,43,7 15 11 9 11 11 11 11 11 9 11 9 11 11 9 11 11 11 11 13 9 11 11 11 11 11 13 11 9 11 11 11 11 9 11 11 11 13 11 11 11 11 11 11 9 11 11 13 11 13 11 11 13 11 11 11 9 13 7 13 11 11 11 9 13 9 11 11 11 11 13 11 9 11 11 11 11 11 43 13 9 13 11 11 11 9 11 9 13 9 9 11 9 11 11 13 11 11 11 11 9 11 13 11 7 11 11 11 11 11 11 11 9 11 11 11 11 9 11 11 11 9 11 9 7 11 11 11 9 11 11 11 9 13 9 9 9 11 11 11 11 7 9 11 11 11 11,1.0,0.0021745513057682686,43.0,-6.020623110195682
3,20.0,BIQAE,0.47,15000,0.0014609620065141327,203,1 3 3 7 7 15 61 203,1.0,0.0009151583448893108,103.0,-6.21549392568687
3,20.0,CABIQAE_latentt,0.47,20850,0.02427293900669092,7,1 1 3 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.002971041323371143,5.0,-4.077314373553309
4,20.0,BAE,0.47,79650,0.0022861131438681737,43,5 25 31 11 37 37 9 9 11 11 39 9 39 9 9 39 9 9 9 11 11 9 11 11 11 9 13 43 13 11 9 9 11 11 41 41 11 11 9 11 9 9 11 9 41 11 41 39 11 11 39 11 11 11 9 41 11 11 13 11 11 41 11 11 9 13 11 11 11 11 11 13 9 11 9 11 11 9 11 11 13 13 11 43 9 11 9 11 11 11 11 11 11 11 11 15 11 11 11 11 11 11 11 11 11 9,1.0,0.0027025308265758996,43.0,-4.881947705107317
4,20.0,BIQAE,0.47,14550,0.0001731197905958659,205,1 1 5 11 11 57 205,1.0,0.0009085073305592495,104.0,-7.622055110843647
4,20.0,CABIQAE_latentt,0.47,16700,0.010913096329764449,7,1 1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.002988394431711505,5.0,-5.530635685607033
5,20.0,BAE,0.47,79700,0.002194926645907591,39,5 13 11 13 9 33 9 37 39 9 11 7 11 9 11 11 9 11 11 11 11 11 9 11 11 11 11 11 11 11 11 11 9 13 11 9 9 11 11 13 11 9 11 11 11 11 13 13 11 11 7 9 11 11 11 11 9 11 11 7 11 9 11 13 11 9 11 11 11 9 11 11 13 11 11 11 11 11 11 11 9 11 11 11 11 11 11 9 11 11 11 11 11 11 9 11 11 11 11 11 11 11 9 11 15 11 11 11 11 11 11 7 11 11 11 13 11 11 11 11 11 11 9 11 9 9 11 11 11 9 11 11 9 11 11 13 11 11 11 11 11 11 11,1.0,0.002266613614208546,39.0,-5.834307479946096
5,20.0,BIQAE,0.47,5250,0.0006898866682474303,69,1 1 3 7 7 17 69,1.0,0.0026364431912857533,36.0,-6.686831407263159
5,20.0,CABIQAE_latentt,0.47,19850,0.021951725868397998,7,1 1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.0029625757899793548,5.0,-4.678728404710563
6,20.0,BAE,0.47,79700,0.0021916221145266146,17,7 13 15 11 13 11 11 11 11 13 17 15 13 11 11 11 11 13 9 11 11 13 11 13 13 11 13 11 11 13 9 11 11 15 15 9 13 9 11 11 11 11 9 11 11 11 13 11 11 11 11 15 11 11 11 13 11 11 11 13 11 11 11 11 11 15 11 11 11 13 11 13 11 13 9 11 11 11 13 13 11 9 13 11 11 11 11 9 13 11 13 11 11 11 9 13 11 11 11 9 11 11 11 11 13 11 11 13 15 11 15 13 13 11 9 11 13 9 9 9 11 11 11 11 11 13 13 11 13 11 9 15 11 11 11 13 11 13 11,1.0,0.0021779812258985176,17.0,-5.220628508751041
6,20.0,BIQAE,0.47,15500,0.0008294896967031562,223,1 3 11 11 61 223,1.0,0.0008364240520904176,113.0,-6.469835904061755
6,20.0,CABIQAE_latentt,0.47,18450,0.016455320030820397,7,1 1 3 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7,0.0,0.002985870509435218,5.0,-5.188802643317969
