a_true,abs_error,algorithm,algorithm_key,amplification_factor_max,backend,backend_mode,backend_name,calibration_source_run_dir,channel,ci_high,ci_low,circuit_prepare_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,construct_circuit_mode,construct_circuit_wall_seconds,coverage,cva_abs_error,cva_ci_high,cva_ci_low,cva_estimate,cva_relative_error,cva_true,epsilon_target,estimate,execution_context,execution_max_grover_power,extrapolated_replay_ks_json,final_abs_error,final_estimate,final_normalized_abs_error,final_queries,hardware_executor,hardware_mode,instance_name,k_max,n_extrapolated_replay_ks,n_shots,n_trace_steps,normalized_abs_error,processed_abs_error,processed_ci_high,processed_ci_low,processed_estimate,processed_relative_error,processed_true_value,query_budget_actual,repetition,replay_probability_mode,run_kind,runtime_wall_seconds,target_name
0.1328730942948926,0.04829383785982028,CABIQAE,cabiqae,5,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.2668423614968995,0.09549150281252627,0.000419100106228143,4,2,2,metadata_only,0.000419100106228143,1.0,0.22047211683077816,1.2181947616197195,0.43593996040529664,0.8270673610125081,0.36345836691843053,0.6065952441817299,0.1,0.18116693215471288,calibration_replay_final_eps_00_rep_010,,[],0.04829383785982028,0.18116693215471288,0.36345836691843036,2304.0,qctrl,replay-only,premium_new_usa,2,0,128,6,0.36345836691843036,0.22047211683077816,1.2181947616197195,0.43593996040529664,0.8270673610125081,0.36345836691843053,0.6065952441817299,2304.0,10,normal,calibration_replay_final,0.11941149987978861,cva
0.1328730942948926,0.1395905217688668,CABIQAE,cabiqae,1,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.36664744667929333,0.17827978544822545,0.000188400037586689,4,1,1,metadata_only,0.000188400037586689,0.0,0.6372617954536157,1.673827185460395,0.8138868938102963,1.2438570396353457,1.0505552121715915,0.6065952441817299,0.1,0.2724636160637594,calibration_replay_final_eps_00_rep_011,,[],0.1395905217688668,0.2724636160637594,1.0505552121715915,640.0,qctrl,replay-only,premium_new_usa,0,0,128,5,1.0505552121715915,0.6372617954536157,1.673827185460395,0.8138868938102963,1.2438570396353457,1.0505552121715915,0.6065952441817299,640.0,11,normal,calibration_replay_final,0.0019936999306082726,cva
0.1328730942948926,0.23333081457121904,CABIQAE,cabiqae,3,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.4658678651099895,0.26653995262223384,0.000375300005543977,5,2,2,metadata_only,0.000375300005543977,0.0,1.0652070924594326,2.1267904754715845,1.216814197810741,1.6718023366411625,1.756042604482252,0.6065952441817299,0.1,0.36620390886611165,calibration_replay_final_eps_00_rep_012,,[],0.23333081457121904,0.36620390886611165,1.7560426044822517,1664.0,qctrl,replay-only,premium_new_usa,1,0,128,7,1.7560426044822517,1.0652070924594326,2.1267904754715845,1.216814197810741,1.6718023366411625,1.756042604482252,0.6065952441817299,1664.0,12,normal,calibration_replay_final,0.08634600002551451,cva
0.1328730942948926,0.14857882983366097,CABIQAE,cabiqae,1,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.37624614131276907,0.18665770694433803,0.00020399998174980283,4,1,1,metadata_only,0.00020399998174980283,0.0,0.6782954219697857,1.7176473624941053,0.8521339698089255,1.2848906661515156,1.1182010219759901,0.6065952441817299,0.1,0.2814519241285536,calibration_replay_final_eps_00_rep_013,,[],0.14857882983366097,0.2814519241285536,1.1182010219759897,640.0,qctrl,replay-only,premium_new_usa,0,0,128,5,1.1182010219759897,0.6782954219697857,1.7176473624941053,0.8521339698089255,1.2848906661515156,1.1182010219759901,0.6065952441817299,640.0,13,normal,calibration_replay_final,0.002421800047159195,cva
0.1328730942948926,0.1395905217688668,CABIQAE,cabiqae,1,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.36664744667929333,0.17827978544822545,0.00025810004444792867,4,1,1,metadata_only,0.00025810004444792867,0.0,0.6372617954536157,1.673827185460395,0.8138868938102963,1.2438570396353457,1.0505552121715915,0.6065952441817299,0.1,0.2724636160637594,calibration_replay_final_eps_00_rep_014,,[],0.1395905217688668,0.2724636160637594,1.0505552121715915,640.0,qctrl,replay-only,premium_new_usa,0,0,128,5,1.0505552121715915,0.6372617954536157,1.673827185460395,0.8138868938102963,1.2438570396353457,1.0505552121715915,0.6065952441817299,640.0,14,normal,calibration_replay_final,0.0018961999448947608,cva
0.1328730942948926,0.21599108394647773,CABIQAE,cabiqae,1,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.4479322444085381,0.24979611207420258,0.00020680000307038426,4,1,1,metadata_only,0.00020680000307038426,0.0,0.9860473634851321,2.0449103756915497,1.1403748396421747,1.592642607666862,1.625544171245962,0.6065952441817299,0.1,0.34886417824137034,calibration_replay_final_eps_00_rep_015,,[],0.21599108394647773,0.34886417824137034,1.6255441712459617,640.0,qctrl,replay-only,premium_new_usa,0,0,128,5,1.6255441712459617,0.9860473634851321,2.0449103756915497,1.1403748396421747,1.592642607666862,1.625544171245962,0.6065952441817299,640.0,15,normal,calibration_replay_final,0.002882200002204627,cva
0.1328730942948926,0.1755437426462901,CABIQAE,cabiqae,1,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.40498342609994903,0.21185024778241635,0.0001949000870808959,4,1,1,metadata_only,0.0001949000870808959,0.0,0.801396249558058,1.8488394625584852,0.9671435249210902,1.407991493739788,1.3211383657303577,0.6065952441817299,0.1,0.3084168369411827,calibration_replay_final_eps_00_rep_016,,[],0.1755437426462901,0.3084168369411827,1.3211383657303575,640.0,qctrl,replay-only,premium_new_usa,0,0,128,5,1.3211383657303575,0.801396249558058,1.8488394625584852,0.9671435249210902,1.407991493739788,1.3211383657303577,0.6065952441817299,640.0,16,normal,calibration_replay_final,0.002316199941560626,cva
0.1328730942948926,0.17104959162907443,CABIQAE,cabiqae,1,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.400199871141046,0.20764550070688806,0.00019589997828006744,4,1,1,metadata_only,0.00019589997828006744,0.0,0.7808794500649472,1.827001469669476,0.9479479188238781,1.3874746942466771,1.287315483520348,0.6065952441817299,0.1,0.30392268592396704,calibration_replay_final_eps_00_rep_017,,[],0.17104959162907443,0.30392268592396704,1.2873154835203477,640.0,qctrl,replay-only,premium_new_usa,0,0,128,5,1.2873154835203477,0.7808794500649472,1.827001469669476,0.9479479188238781,1.3874746942466771,1.287315483520348,0.6065952441817299,640.0,17,normal,calibration_replay_final,0.0021078999852761626,cva
0.1328730942948926,0.0523507226555083,CABIQAE,cabiqae,5,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.27495613108827555,0.09549150281252627,0.000372299924492836,5,2,2,metadata_only,0.000372299924492836,1.0,0.23899269871619688,1.255235925390557,0.43593996040529664,0.8455879428979268,0.39399039311392464,0.6065952441817299,0.1,0.1852238169504009,calibration_replay_final_eps_00_rep_018,,[],0.0523507226555083,0.1852238169504009,0.39399039311392453,2944.0,qctrl,replay-only,premium_new_usa,2,0,128,7,0.39399039311392453,0.23899269871619688,1.255235925390557,0.43593996040529664,0.8455879428979268,0.39399039311392464,0.6065952441817299,2944.0,18,normal,calibration_replay_final,0.07548220013268292,cva
0.1328730942948926,0.18003789324126754,CABIQAE,cabiqae,1,ibm_pittsburgh,,ibm_pittsburgh,C:\Users\guilb\Desktop\Quantum-CVA\cva_pricing_pipeline\multi_asset\6q_instance\cva_pricing_multi_asset\quantum\ae_cva\hardware\results\q_ctrl_hardware,ibm_cloud,0.4097646346226088,0.2160573404497115,0.0001897999900393188,4,1,1,metadata_only,0.0001897999900393188,0.0,0.8219130471235572,1.870666743443883,0.9863498391666912,1.4285082913052871,1.3549612447626116,0.6065952441817299,0.1,0.31291098753616015,calibration_replay_final_eps_00_rep_019,,[],0.18003789324126754,0.31291098753616015,1.3549612447626116,640.0,qctrl,replay-only,premium_new_usa,0,0,128,5,1.3549612447626116,0.8219130471235572,1.870666743443883,0.9863498391666912,1.4285082913052871,1.3549612447626116,0.6065952441817299,640.0,19,normal,calibration_replay_final,0.002174499968532473,cva
