rep,T_noise,algorithm,a_true,final_queries,final_nRMSE,K_max,coverage,radius,max_depth,terminated_early
1,inf,CABIQAE_latentt,0.5,4840,0.0009995640293207764,85,1.0,0.0024475438178541142,44.0,False
2,inf,BAE,0.5,44420,0.0004065785158280377,401,1.0,0.0003159550746811568,401.0,False
2,inf,BIQAE,0.5,5880,0.0022241560015623385,105,1.0,0.001987468749309218,54.0,False
2,inf,CABIQAE_latentt,0.5,5280,0.0010773901256191376,85,1.0,0.0023855379683684896,44.0,False
3,inf,BAE,0.5,44340,6.265134533167682e-05,401,1.0,0.0003149181337078477,401.0,False
3,inf,BIQAE,0.5,8720,0.0009844616534655515,123,1.0,0.001589232779306865,63.0,False
3,inf,CABIQAE_latentt,0.5,6320,0.0027195479804522638,109,1.0,0.0018882695555039186,56.0,False
4,inf,BAE,0.5,45980,0.0005541651044864704,401,1.0,0.00035168221581696746,401.0,False
4,inf,BIQAE,0.5,4800,0.001002325564400941,79,1.0,0.0025966045101346313,41.0,False
4,inf,CABIQAE_latentt,0.5,4280,0.0014249309847664815,71,1.0,0.0028620493405589753,37.0,False
