rep,T_noise,a_true,algorithm,final_queries,final_estimate,final_abs_error,final_nrmse,final_coverage,runtime_seconds,k_max
1,200.0,0.05,CABIQAE_latentt,135280,0.050297733978819405,0.00029773397881940195,0.005954679576388039,0.0,0.4236072000057902,287
2,200.0,0.05,BAE,30500,0.04983564683728651,0.00016435316271349448,0.0032870632542698897,1.0,0.80037280000397,185
2,200.0,0.05,BIQAE,157960,0.04997670066841859,2.3299331581412563e-05,0.00046598663162825127,1.0,0.26576189999468625,2553
2,200.0,0.05,CABIQAE_latentt,514000,0.04985913871210061,0.0001408612878993909,0.002817225757987818,0.0,5.977809699979844,87
3,200.0,0.05,BAE,27220,0.049895104196642,0.0001048958033580058,0.002097916067160116,1.0,0.8575417999818455,101
3,200.0,0.05,BIQAE,132840,0.04997991231135983,2.0087688640174628e-05,0.00040175377280349256,1.0,0.21866399998543784,2191
3,200.0,0.05,CABIQAE_latentt,524320,0.05018647372158843,0.0001864737215884274,0.003729474431768548,0.0,4.12241469998844,129
4,200.0,0.05,BAE,26540,0.0501856909519343,0.00018569095193429752,0.0037138190386859504,1.0,0.9559712999907788,101
4,200.0,0.05,BIQAE,134280,0.05000602069638327,6.0206963832659666e-06,0.00012041392766531933,1.0,0.2518223999941256,2301
4,200.0,0.05,CABIQAE_latentt,533520,0.049889712971966246,0.00011028702803375645,0.002205740560675129,0.0,6.983826200012118,73
1,200.0,0.2,BAE,25740,0.2000611562487215,6.11562487214945e-05,0.0003057812436074725,1.0,0.7940973999793641,93
1,200.0,0.2,BIQAE,351000,0.200005935670881,5.935670881002109e-06,2.9678354405010543e-05,1.0,0.39580860000569373,5469
1,200.0,0.2,CABIQAE_latentt,478480,0.20014906004753544,0.00014906004753542645,0.0007453002376771323,0.0,11.467082200018922,73
2,200.0,0.2,BAE,27900,0.20052535884797434,0.0005253588479743332,0.002626794239871666,1.0,0.9681488000205718,97
2,200.0,0.2,BIQAE,246200,0.1999966816236301,3.3183763699096147e-06,1.6591881849548074e-05,1.0,0.3307535999920219,3935
2,200.0,0.2,CABIQAE_latentt,1233880,0.19985761355681725,0.0001423864431827626,0.0007119322159138131,0.0,17.788980400015134,127
3,200.0,0.2,BAE,28540,0.20021047955363214,0.00021047955363212578,0.001052397768160629,1.0,0.8681115999934264,97
3,200.0,0.2,BIQAE,250880,0.20000192455706078,1.92455706077288e-06,9.6227853038644e-06,1.0,0.32479139999486506,4365
3,200.0,0.2,CABIQAE_latentt,756120,0.19993136915199514,6.863084800487473e-05,0.00034315424002437367,0.0,15.045811199990567,83
4,200.0,0.2,BAE,30660,0.19968097150189942,0.00031902849810058753,0.0015951424905029377,1.0,0.6915113999857567,195
4,200.0,0.2,BIQAE,469520,0.19999994116348496,5.8836515048898974e-08,2.9418257524449487e-07,1.0,0.5328219000075478,7025
4,200.0,0.2,CABIQAE_latentt,699800,0.1998263692631279,0.00017363073687209907,0.0008681536843604953,0.0,14.261987200006843,83
1,200.0,0.8,BAE,27340,0.7999706700848452,2.932991515480765e-05,3.6662393943509564e-05,1.0,0.9023461000178941,93
1,200.0,0.8,BIQAE,644440,0.8000003752410939,3.752410938639983e-07,4.6905136732999786e-07,1.0,0.7505989000201225,10843
1,200.0,0.8,CABIQAE_latentt,1329920,0.8000317509784016,3.175097840157903e-05,3.968872300197379e-05,1.0,19.554001699987566,127
2,200.0,0.8,BAE,28060,0.8001251788572394,0.00012517885723939415,0.00015647357154924268,1.0,1.0419454000075348,101
2,200.0,0.8,BIQAE,257760,0.7999837982047042,1.6201795295822663e-05,2.025224411977833e-05,1.0,0.33593220001785085,3369
