rep,T_noise,a_true,budget,algorithm,estimate,abs_error,nrmse,common_budget_ceiling
1,5.0,0.2,200,BAE,0.2570857777243623,0.0570857777243623,0.2854288886218115,25220
1,5.0,0.2,200,BIQAE,0.28648944047747793,0.08648944047747792,0.4324472023873896,25220
1,5.0,0.2,200,CABIQAE_latentt,0.17110160800143379,0.028898391998566225,0.14449195999283113,25220
1,5.0,0.2,400,BAE,0.2365407645509511,0.036540764550951094,0.18270382275475547,25220
1,5.0,0.2,400,BIQAE,0.28648944047747793,0.08648944047747792,0.4324472023873896,25220
1,5.0,0.2,400,CABIQAE_latentt,0.19679969875146897,0.0032003012485310456,0.016001506242655228,25220
1,5.0,0.2,800,BAE,0.22256598368484465,0.022565983684844637,0.11282991842422319,25220
1,5.0,0.2,800,BIQAE,0.22499051091955308,0.024990510919553066,0.12495255459776533,25220
1,5.0,0.2,800,CABIQAE_latentt,0.19528925050759693,0.004710749492403077,0.023553747462015384,25220
1,5.0,0.2,1600,BAE,0.1996173804643757,0.0003826195356243234,0.001913097678121617,25220
1,5.0,0.2,1600,BIQAE,0.21297312884346553,0.01297312884346552,0.0648656442173276,25220
1,5.0,0.2,1600,CABIQAE_latentt,0.19379470428790624,0.006205295712093772,0.031026478560468862,25220
1,5.0,0.2,3200,BAE,0.2146547058573271,0.014654705857327088,0.07327352928663544,25220
1,5.0,0.2,3200,BIQAE,0.2060331785543415,0.0060331785543414895,0.030165892771707448,25220
1,5.0,0.2,3200,CABIQAE_latentt,0.19006484461571466,0.009935155384285355,0.04967577692142677,25220
1,5.0,0.2,6400,BAE,0.20498522777302158,0.004985227773021572,0.02492613886510786,25220
1,5.0,0.2,6400,BIQAE,0.2060331785543415,0.0060331785543414895,0.030165892771707448,25220
1,5.0,0.2,6400,CABIQAE_latentt,0.18591100838317648,0.014088991616823532,0.07044495808411766,25220
1,5.0,0.2,12800,BAE,0.19589621699747256,0.00410378300252745,0.02051891501263725,25220
1,5.0,0.2,12800,BIQAE,0.20463910563152637,0.0046391056315263635,0.023195528157631817,25220
1,5.0,0.2,12800,CABIQAE_latentt,0.1849608307141848,0.015039169285815224,0.07519584642907612,25220
2,5.0,0.2,200,BAE,0.21671699495150232,0.016716994951502306,0.08358497475751153,25300
