a_true,abs_error,algorithm,algorithm_key,budget,epsilon_target,estimate,normalized_abs_error,normalized_sq_error,phase,query_budget_actual,repetition,run_kind,runtime_wall_seconds,step_index
0.1923435405926084,0.004018518827522466,CABIQAE_latentt,cabiqae_latentt,4096,0.01,0.18832502176508592,0.02089240332761606,0.0004364925168037826,iterative,4096.0,11061041,simulated_noise_v2,0.8651402999821585,10000000
0.1923435405926084,0.0019829037893256962,CABIQAE_latentt,cabiqae_latentt,395776,0.0001,0.1903606368032827,0.010309177959480161,0.00010627915020023154,iterative,395776.0,1171042,simulated_noise_v2,99.76314260001527,100000
0.1923435405926084,0.0026927810728873403,CABIQAE_latentt,cabiqae_latentt,75136,0.001,0.18965075951972105,0.013999851851488804,0.00019599585186363448,iterative,75136.0,2071043,simulated_noise_v2,16.415567799995188,1000000
0.1923435405926084,0.0015414669956104188,CABIQAE_latentt,cabiqae_latentt,22016,0.0025,0.19080207359699797,0.008014134453702866,6.422635104202733e-05,iterative,22016.0,3571044,simulated_noise_v2,4.4924374999827705,2500000
0.1923435405926084,0.00023371774268171608,CABIQAE_latentt,cabiqae_latentt,9856,0.005,0.19210982284992667,0.001215105752767336,1.4764819904082744e-06,iterative,9856.0,6071045,simulated_noise_v2,2.0453527999925427,5000000
0.1923435405926084,0.006006513122489149,CABIQAE_latentt,cabiqae_latentt,5888,0.0075,0.18633702747011924,0.031228046982930368,0.0009751909183681064,iterative,5888.0,8571046,simulated_noise_v2,1.1910135000071023,7500000
0.1923435405926084,0.0038341931520390615,CABIQAE_latentt,cabiqae_latentt,4096,0.01,0.18850934744056932,0.019934088455614125,0.00039736788255624833,iterative,4096.0,11071047,simulated_noise_v2,0.9276954000233673,10000000
0.1923435405926084,0.0019294305371801435,CABIQAE_latentt,cabiqae_latentt,409856,0.0001,0.19041411005542824,0.010031168872297914,0.00010062434894455861,iterative,409856.0,1181048,simulated_noise_v2,99.19221430001198,100000
0.1923435405926084,0.00286865616323867,CABIQAE_latentt,cabiqae_latentt,77568,0.001,0.18947488442936972,0.014914231870747367,0.0002224343122944165,iterative,77568.0,2081049,simulated_noise_v2,15.798821799980942,1000000
0.1923435405926084,0.0018202256079998813,CABIQAE_latentt,cabiqae_latentt,30592,0.0025,0.1905233149846085,0.00946340907727801,8.955611136390782e-05,iterative,30592.0,3581050,simulated_noise_v2,5.044706300017424,2500000
0.1923435405926084,0.0005897871953744471,CABIQAE_latentt,cabiqae_latentt,13312,0.005,0.19293332778798283,0.003066321819580315,9.402329501234334e-06,iterative,13312.0,6081051,simulated_noise_v2,2.1842623999982607,5000000
0.1923435405926084,0.0036056904546005186,CABIQAE_latentt,cabiqae_latentt,5376,0.0075,0.18873785013800787,0.01874609588391388,0.0003514161108888929,iterative,5376.0,8581052,simulated_noise_v2,1.1759931000124197,7500000
0.1923435405926084,0.003192552537193083,CABIQAE_latentt,cabiqae_latentt,3456,0.01,0.1891509880554153,0.016598179108884357,0.0002754995497306051,iterative,3456.0,11081053,simulated_noise_v2,0.7514886999852024,10000000
0.1923435405926084,0.0025336037755488428,CABIQAE_latentt,cabiqae_latentt,390656,0.0001,0.18980993681705954,0.013172284173114609,0.0001735090703372856,iterative,390656.0,1191054,simulated_noise_v2,95.48020739998901,100000
0.1923435405926084,0.004273997826643339,CABIQAE_latentt,cabiqae_latentt,65408,0.001,0.18806954276596505,0.022220646523793817,0.0004937571319353903,iterative,65408.0,2091055,simulated_noise_v2,13.427850700012641,1000000
0.1923435405926084,6.260055222889749e-06,CABIQAE_latentt,cabiqae_latentt,28416,0.0025,0.1923372805373855,3.254622018292159e-05,1.0592564481952125e-09,iterative,28416.0,3591056,simulated_noise_v2,5.729440900002373,2500000
0.1923435405926084,0.00015385868971323768,CABIQAE_latentt,cabiqae_latentt,9856,0.005,0.19218968190289515,0.0007999160732884541,6.398657243052195e-07,iterative,9856.0,6091057,simulated_noise_v2,1.985755000001518,5000000
0.1923435405926084,0.003963784424470873,CABIQAE_latentt,cabiqae_latentt,6016,0.0075,0.1883797561681375,0.020607837477975583,0.00042468296551865506,iterative,6016.0,8591058,simulated_noise_v2,1.2855241000070237,7500000
0.1923435405926084,6.461085184866766e-05,CABIQAE_latentt,cabiqae_latentt,3968,0.01,0.19227892974075972,0.0003359138115561475,1.1283808879417897e-07,iterative,3968.0,11091059,simulated_noise_v2,0.8105578999966383,10000000
0.1923435405926084,0.006259602280843518,CABIQAE_latentt,cabiqae_latentt,181376,0.0001,0.18608393831176487,0.032543865323253124,0.001059103170178037,iterative,181376.0,1201060,simulated_noise_v2,45.91873390000546,100000
0.1923435405926084,0.004519646406551336,CABIQAE_latentt,cabiqae_latentt,52736,0.001,0.18782389418605705,0.02349778106728385,0.0005521457150860034,iterative,52736.0,2101061,simulated_noise_v2,11.213816500006942,1000000
0.1923435405926084,0.003925857613091277,CABIQAE_latentt,cabiqae_latentt,28288,0.0025,0.1884176829795171,0.020410654815835,0.0004165948300111685,iterative,28288.0,3601062,simulated_noise_v2,5.642603699991014,2500000
0.1923435405926084,0.001754964255200775,CABIQAE_latentt,cabiqae_latentt,9728,0.005,0.1905885763374076,0.009124113291217106,8.324944335096464e-05,iterative,9728.0,6101063,simulated_noise_v2,1.9243102000036743,5000000
0.1923435405926084,0.0036972223934929604,CABIQAE_latentt,cabiqae_latentt,5376,0.0075,0.18864631819911543,0.019221973257338706,0.00036948425590584437,iterative,5376.0,8601064,simulated_noise_v2,1.1555700000026263,7500000
0.1923435405926084,0.0012378906497879372,CABIQAE_latentt,cabiqae_latentt,3328,0.01,0.19110564994282045,0.006435831668555177,4.141992926597771e-05,iterative,3328.0,11101065,simulated_noise_v2,0.6879497999907471,10000000
