profile,scenario_id,objective_ry_offset,a_true,rep,algorithm,final_queries,final_estimate,final_abs_error,final_normalized_abs_error,coverage,runtime_seconds,k_max
realistic,4,0.52,0.5682384803402307,23,BIQAE,26112,0.5557539407182576,0.012484539621973156,0.021970598707954595,0.0,4.751136399994721,169
realistic,4,0.52,0.5682384803402307,23,BAE,16144,0.5709129953533085,0.002674515013077805,0.004706677047771297,1.0,78.28543160000117,23
realistic,4,0.52,0.5682384803402307,24,CABIQAE_latentt,28928,0.5718489195965809,0.003610439256350184,0.006353739461974569,0.0,8.43502509999962,3
realistic,4,0.52,0.5682384803402307,24,BIQAE,28416,0.5510244356419978,0.017214044698232955,0.030293697617813753,0.0,5.281580499999109,185
realistic,4,0.52,0.5682384803402307,24,BAE,17040,0.5661366286048254,0.0021018517354053357,0.0036988901810149494,1.0,65.87058300001081,25
realistic,4,0.52,0.5682384803402307,25,CABIQAE_latentt,28544,0.5703407332216379,0.002102252881407196,0.003699596127577421,1.0,8.475507600000128,3
realistic,4,0.52,0.5682384803402307,25,BIQAE,35968,0.5407247979353536,0.02751368240487717,0.048419252403328006,0.0,6.616151299997,231
realistic,4,0.52,0.5682384803402307,25,BAE,15504,0.5677835289878498,0.000454951352380939,0.000800634536591993,1.0,87.48002350000024,25
realistic,5,0.56,0.6056665183230261,1,CABIQAE_latentt,45440,0.6059560888189397,0.00028957049591360473,0.0004781022017122057,1.0,7.013533600009396,13
realistic,5,0.56,0.6056665183230261,1,BIQAE,15360,0.5947095104554431,0.010957007867583024,0.018090826446739813,0.0,2.4954623999947216,99
realistic,5,0.56,0.6056665183230261,1,BAE,16912,0.6088113048637656,0.0031447865407394637,0.005192274041244301,1.0,66.22409129999869,17
realistic,5,0.56,0.6056665183230261,2,CABIQAE_latentt,37376,0.6063986442027229,0.0007321258796968433,0.0012087937132862468,1.0,5.480735999997705,15
realistic,5,0.56,0.6056665183230261,2,BIQAE,15104,0.5968727798168725,0.008793738506153614,0.01451910951013403,0.0,2.424038400000427,97
realistic,5,0.56,0.6056665183230261,2,BAE,15888,0.6064708759726788,0.0008043576496526983,0.0013280536818839016,1.0,66.41714109999884,15
realistic,5,0.56,0.6056665183230261,3,CABIQAE_latentt,44032,0.6073949274642639,0.001728409141237841,0.0028537307065007868,1.0,7.4299558000057,11
realistic,5,0.56,0.6056665183230261,3,BIQAE,13312,0.6101339669626085,0.004467448639582372,0.007376086516969564,0.0,2.2495581999974092,85
realistic,5,0.56,0.6056665183230261,3,BAE,15248,0.6069599210848959,0.001293402761869844,0.0021355031568379033,1.0,66.2696591999993,29
realistic,5,0.56,0.6056665183230261,4,CABIQAE_latentt,30848,0.6038274810078835,0.0018390373151425665,0.003036385964068984,1.0,4.845212600004743,15
realistic,5,0.56,0.6056665183230261,4,BIQAE,15360,0.5945678718575553,0.011098646465470763,0.01832468219673225,0.0,2.4884645999991335,99
realistic,5,0.56,0.6056665183230261,4,BAE,16912,0.6034896077057343,0.0021769106172917496,0.003594239654057807,1.0,68.00771790000726,17
realistic,5,0.56,0.6056665183230261,5,CABIQAE_latentt,39040,0.6107140484374276,0.0050475301144015106,0.00833384372703505,0.0,6.416122800001176,13
realistic,5,0.56,0.6056665183230261,5,BIQAE,13440,0.6091006570825657,0.0034341387595395734,0.0056700158513765,0.0,2.260695399992983,85
realistic,5,0.56,0.6056665183230261,5,BAE,16016,0.6113661382812704,0.005699619958244306,0.009410492054316386,1.0,63.47844140000234,31
realistic,5,0.56,0.6056665183230261,6,CABIQAE_latentt,45952,0.6074166760858457,0.0017501577628196152,0.002889639281473681,1.0,7.121649799999432,13
realistic,5,0.56,0.6056665183230261,6,BIQAE,15104,0.5968003952713679,0.008866123051658237,0.01463862172240728,0.0,2.555926699991687,97
realistic,5,0.56,0.6056665183230261,6,BAE,17936,0.6115987649258033,0.005932246602777247,0.009794575766219494,0.0,71.92433490000258,27
realistic,5,0.56,0.6056665183230261,7,CABIQAE_latentt,47616,0.6062077893269936,0.0005412710039675028,0.0008936782661623395,1.0,7.473234100005357,13
realistic,5,0.56,0.6056665183230261,7,BIQAE,31616,0.5465485776567798,0.059117940666246316,0.09760807123684583,0.0,4.928242499998305,203
realistic,5,0.56,0.6056665183230261,7,BAE,15888,0.6098212288882836,0.004154710565257513,0.006859732938120975,1.0,74.95529950001219,15
realistic,5,0.56,0.6056665183230261,8,CABIQAE_latentt,48896,0.603323295792314,0.0023432225307120635,0.003868832863999145,1.0,7.283787899999879,15
realistic,5,0.56,0.6056665183230261,8,BIQAE,17024,0.5877668225496102,0.01789969577341588,0.029553715174774214,0.0,2.802139999999781,107
realistic,5,0.56,0.6056665183230261,8,BAE,16528,0.6041547332439904,0.0015117850790357101,0.0024960684358474225,1.0,62.85294840000279,17
realistic,5,0.56,0.6056665183230261,9,CABIQAE_latentt,44160,0.6035789870112171,0.0020875313118089434,0.0034466678422127666,1.0,6.666296700001112,13
realistic,5,0.56,0.6056665183230261,9,BIQAE,13824,0.6046874013702555,0.0009791169527706423,0.0016165941539605466,1.0,2.2963088000105927,89
realistic,5,0.56,0.6056665183230261,9,BAE,16912,0.6092930109125396,0.0036264925895135303,0.005987606182284254,1.0,65.80779360000452,27
realistic,5,0.56,0.6056665183230261,10,CABIQAE_latentt,46976,0.6091088034664659,0.003442285143439805,0.0056834661307856825,0.0,7.520487200003117,11
realistic,5,0.56,0.6056665183230261,10,BIQAE,13696,0.6068061431792284,0.001139624856202337,0.0018816045162241073,1.0,2.364099400001578,87
realistic,5,0.56,0.6056665183230261,10,BAE,15504,0.6066230784023791,0.0009565600793529638,0.0015793510957176475,1.0,66.84022570001252,17
realistic,5,0.56,0.6056665183230261,11,CABIQAE_latentt,47360,0.6087248404798313,0.0030583221568052377,0.005049514979419933,0.0,7.050978999992367,15
realistic,5,0.56,0.6056665183230261,11,BIQAE,34944,0.5418393935396587,0.06382712478336738,0.10538328081943904,0.0,5.4670973000029335,225
realistic,5,0.56,0.6056665183230261,11,BAE,15760,0.6064808723166186,0.0008143539935925315,0.001344558381479169,1.0,63.6160372000013,17
realistic,5,0.56,0.6056665183230261,12,CABIQAE_latentt,43776,0.6061625763866891,0.0004960580636630407,0.0008190283739582138,1.0,6.522516000011819,13
realistic,5,0.56,0.6056665183230261,12,BIQAE,15104,0.5965503362651814,0.009116182057844702,0.01505148754645651,0.0,2.352009900001576,97
realistic,5,0.56,0.6056665183230261,12,BAE,15888,0.6069636183536901,0.0012971000306639668,0.0021416076197432656,1.0,71.21562580000318,15
realistic,5,0.56,0.6056665183230261,13,CABIQAE_latentt,40960,0.6046183612139582,0.0010481571090679154,0.0017305845334988311,1.0,6.036452800006373,13
realistic,5,0.56,0.6056665183230261,13,BIQAE,15488,0.5949246689963785,0.010741849326647568,0.01773558385956298,0.0,2.436505500008934,99
realistic,5,0.56,0.6056665183230261,13,BAE,15632,0.6010833106802996,0.004583207642726461,0.007567213151251088,1.0,62.574729800006025,15
realistic,5,0.56,0.6056665183230261,14,CABIQAE_latentt,45824,0.6075557670495356,0.0018892487265095292,0.0031192886998946136,1.0,6.8185246999928495,13
realistic,5,0.56,0.6056665183230261,14,BIQAE,16640,0.5880534540765074,0.01761306424651865,0.029080465427221952,0.0,2.5495048000011593,107
realistic,5,0.56,0.6056665183230261,14,BAE,15504,0.6027137156512339,0.0029528026717922096,0.0048752945432214935,1.0,57.8238990999962,17
realistic,5,0.56,0.6056665183230261,15,CABIQAE_latentt,48896,0.6035605851987201,0.0021059331243059587,0.0034770505890549834,1.0,7.003088900004514,15
realistic,5,0.56,0.6056665183230261,15,BIQAE,14080,0.6032303120636089,0.0024362062594172063,0.004022355843876911,0.0,2.1365818999911426,91
realistic,5,0.56,0.6056665183230261,15,BAE,15504,0.6082065773843521,0.0025400590613260388,0.004193824463599165,1.0,55.73589240000001,15
realistic,5,0.56,0.6056665183230261,16,CABIQAE_latentt,44288,0.6082096707248097,0.0025431524017835994,0.004198931796370548,1.0,6.821612900006585,11
realistic,5,0.56,0.6056665183230261,16,BIQAE,12160,0.6041476572849198,0.0015188610381062784,0.0025077513650774556,1.0,2.0167373000003863,75
realistic,5,0.56,0.6056665183230261,16,BAE,15120,0.608894214334252,0.0032276960112258557,0.005329163679317662,1.0,60.920888900000136,17
realistic,5,0.56,0.6056665183230261,17,CABIQAE_latentt,53888,0.6016428485517575,0.0040236697712685565,0.006643374942384669,0.0,7.557263599999715,17
realistic,5,0.56,0.6056665183230261,17,BIQAE,18816,0.5791383008247251,0.026528217498301032,0.04380003961875349,0.0,2.9044042000023182,119
realistic,5,0.56,0.6056665183230261,17,BAE,16016,0.6052234863757355,0.00044303194729056194,0.0007314783530006447,1.0,69.489072700002,17
realistic,5,0.56,0.6056665183230261,18,CABIQAE_latentt,44160,0.6051253208029156,0.0005411975201105035,0.0008935569389058771,1.0,6.511137099994812,13
realistic,5,0.56,0.6056665183230261,18,BIQAE,22528,0.5648240963852988,0.04084242193772725,0.06743384470188651,0.0,3.4200233000010485,145
realistic,5,0.56,0.6056665183230261,18,BAE,15632,0.6040964819181439,0.0015700364048821802,0.0025922456622322603,1.0,55.31284089999099,21
realistic,5,0.56,0.6056665183230261,19,CABIQAE_latentt,61056,0.6036892825755742,0.0019772357474519,0.00326456174748851,1.0,9.360193700005766,11
realistic,5,0.56,0.6056665183230261,19,BIQAE,35456,0.6511485345461636,0.04548201622313752,0.07509415635037654,0.0,5.276323300000513,225
realistic,5,0.56,0.6056665183230261,19,BAE,15888,0.603184076581196,0.0024824417418300992,0.004098694028363169,1.0,69.31684159999713,15
realistic,5,0.56,0.6056665183230261,20,CABIQAE_latentt,45440,0.6036578683215805,0.0020086500014455666,0.0033164289929830224,1.0,6.539323200006038,15
realistic,5,0.56,0.6056665183230261,20,BIQAE,14592,0.6001525724561885,0.005513945866837622,0.009103930463425114,0.0,2.2687331000051927,93
realistic,5,0.56,0.6056665183230261,20,BAE,15504,0.607963078709165,0.0022965603861389017,0.003791790228883107,1.0,57.49429839999357,25
realistic,5,0.56,0.6056665183230261,21,CABIQAE_latentt,50560,0.6024577437427876,0.0032087745802384937,0.005297923004102938,0.0,7.4803255000006175,13
realistic,5,0.56,0.6056665183230261,21,BIQAE,14976,0.5990850509305458,0.0065814673924803335,0.010866487073948133,0.0,2.365167500000098,95
realistic,5,0.56,0.6056665183230261,21,BAE,15120,0.6059867814439864,0.00032026312096034015,0.0005287779847020222,1.0,49.60333840000385,29
realistic,5,0.56,0.6056665183230261,22,CABIQAE_latentt,59648,0.6044909957098257,0.0011755226132004193,0.0019408743551735613,1.0,9.227816599988728,11
realistic,5,0.56,0.6056665183230261,22,BIQAE,14848,0.598386921819553,0.007279596503473096,0.012019149619874806,0.0,2.326636400001007,95
realistic,5,0.56,0.6056665183230261,22,BAE,15760,0.6023930812895943,0.0032734370334317475,0.005404685473608916,1.0,56.261945100006415,17
realistic,5,0.56,0.6056665183230261,23,CABIQAE_latentt,41984,0.6039854730879608,0.0016810452350652927,0.002775529411333126,1.0,6.055316000012681,15
realistic,5,0.56,0.6056665183230261,23,BIQAE,12160,0.6213751925542943,0.015708674231268205,0.02593617734518741,0.0,1.994985800003633,77
realistic,5,0.56,0.6056665183230261,23,BAE,16400,0.6079632354707997,0.002296717147773575,0.0037920490538799175,1.0,58.64729450001323,15
realistic,5,0.56,0.6056665183230261,24,CABIQAE_latentt,48896,0.6039003787217578,0.0017661396012682573,0.0029160264730471773,1.0,6.9882775000005495,15
realistic,5,0.56,0.6056665183230261,24,BIQAE,12032,0.6041479912231495,0.0015185270998765432,0.0025072000084816514,1.0,1.855633699989994,75
realistic,5,0.56,0.6056665183230261,24,BAE,15120,0.6102964299357913,0.0046299116127651585,0.007644324843289162,1.0,63.41897369999788,15
realistic,5,0.56,0.6056665183230261,25,CABIQAE_latentt,47360,0.6056014589602452,6.505936278089486e-05,0.00010741779644850057,1.0,6.850091500004055,15
realistic,5,0.56,0.6056665183230261,25,BIQAE,34432,0.5426614834528574,0.06300503487016873,0.10402594986531125,0.0,5.146499399997992,221
realistic,5,0.56,0.6056665183230261,25,BAE,16912,0.6044391340911746,0.001227384231851536,0.0020265017046838356,1.0,79.95423919998575,17
realistic,6,0.6,0.6423672082866361,1,CABIQAE_latentt,32640,0.6456777057017804,0.003310497415144331,0.005153590302304358,0.0,5.450718100008089,9
realistic,6,0.6,0.6423672082866361,1,BIQAE,12800,0.6295091058222604,0.012858102464375687,0.02001674789513565,0.0,2.0671165000094334,83
realistic,6,0.6,0.6423672082866361,1,BAE,15632,0.638926422945396,0.003440785341240038,0.005356414986402444,1.0,55.39008390001254,23
realistic,6,0.6,0.6423672082866361,2,CABIQAE_latentt,31488,0.6415900528848801,0.0007771554017559357,0.001209830439241778,1.0,4.869991800005664,11
realistic,6,0.6,0.6423672082866361,2,BIQAE,11648,0.6276036360449455,0.014763572241690559,0.02298307268994774,0.0,1.9077420999965398,73
realistic,6,0.6,0.6423672082866361,2,BAE,16016,0.6370896406008857,0.005277567685750384,0.00821581117103885,1.0,59.762083099994925,23
