algorithm,algorithm_key,budget,target_name,abs_error_mean,abs_error_median,amplification_factor_median,cva_abs_error_median,cva_relative_error_median,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,query_budget_actual_median,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,total_repetitions
BIQAE,biqae,65536,cva,7.583586919903388e-05,3.210504913189749e-05,1534.0,0.0001417099400289,0.0002416218972114,0.1328334073593486,766.5,0.0001514007521911,3.661362268196535e-05,300,300,0.001366196417077,0.0002745567601112,0.0005707390920747,0.0002416218972115,0.0002747635550669,0.000216236789233,0.0002726721783375,0.0047228206669115,0.0001417099400289,0.0001591615834496,0.0001263028660681,0.0001599207625042,0.0002416218972114,0.0002717377968115,0.0002125179589127,0.0002726721783375,54489.7,55040.0,0.0091693972774712,0.0087756485802785,0.0089737808494809,0.0089781316883838,0.0091953646852102,0.0087057375743683,0.0001015852684139,1.0,300
CABIQAE,cabiqae_latentt,64,cva,0.0396472136093245,0.0291512987208435,1.0,0.1286722464284952,0.2193920362548829,0.1657250276553831,0.0,0.0434289494481772,0.0359766568505179,300,300,0.3264650727505398,0.2707855543528833,0.298384062023372,0.2193920362548829,0.2689820536230547,0.1804491476478928,0.0144558632008207,0.2503828953108686,0.1286722464284952,0.155909813552175,0.1037980314522758,0.0084782858296262,0.2193920362548829,0.2674642644211678,0.1769803676523058,0.0144558632008207,57.56666666666667,60.0,2.478875369749896e-06,2.3657650349830388e-06,2.423415635281833e-06,2.410239725501996e-06,2.4588117660642803e-06,2.346124760239615e-06,2.891586530314045e-08,1.0,300
CABIQAE,cabiqae_latentt,128,cva,0.0277759667212956,0.023254083774669,3.0,0.1026422605241821,0.1750097256187917,0.148765653681979,1.0,0.0305302761765426,0.0253010676222414,300,300,0.2311135296873966,0.1891172130319607,0.2090413177226901,0.1750097256187918,0.1904556256167734,0.1424109043572374,0.0105419934033656,0.182592681876853,0.1026422605241821,0.1115196353033143,0.0833584514152764,0.0061828222947415,0.1750097256187917,0.1910994571148573,0.1422757869235215,0.0105419934033656,108.13333333333334,110.0,4.65023240618486e-06,4.44285023430639e-06,4.5452122683025154e-06,4.503795612510243e-06,4.625542252398058e-06,4.405611113910103e-06,5.4646645568747064e-08,1.0,300
CABIQAE,cabiqae_latentt,256,cva,0.0114895175941286,0.0092030937214858,7.0,0.0406219549453165,0.0692622819565033,0.1374156266029001,3.0,0.01254884911023,0.0104006851157744,300,300,0.0948659228606747,0.0779591671094393,0.0864698579881744,0.0692622819565032,0.075203745743695,0.0587095351850775,0.0042264957656089,0.0732050540400942,0.0406219549453165,0.0464159487233597,0.0343489956482885,0.0024788169797084,0.0692622819565033,0.0771725253931708,0.0589153775749316,0.0042264957656089,222.3,230.0,9.542498243821754e-06,9.134943901481998e-06,9.34167141562804e-06,9.155237239363606e-06,9.520271090169222e-06,8.964851202004992e-06,1.0941075330441373e-07,1.0,300
CABIQAE,cabiqae_latentt,512,cva,0.0059140326252544,0.0047647332738473,15.0,0.0210312734211107,0.0358592783522653,0.1351673875935323,7.0,0.0065643295681782,0.0053093671948568,300,300,0.0495376100714197,0.0401978530117044,0.0445088801208249,0.0358592783522653,0.0404268692729789,0.0316148785178516,0.002390318866146,0.0414015372245544,0.0210312734211107,0.0235014439343378,0.0185883764805976,0.0014019091277775,0.0358592783522653,0.0404268692729789,0.0315687797522742,0.002390318866146,431.9,430.0,1.8608480050322192e-05,1.775725462422089e-05,1.817973700095329e-05,1.7746815964704105e-05,1.8290270756614265e-05,1.7116630854492584e-05,2.25472642980402e-07,1.0,300
CABIQAE,cabiqae_latentt,1024,cva,0.0031236868528317,0.0024468431161636,23.0,0.0108002323817484,0.0184148877479532,0.1337110173231392,11.0,0.0036624260394905,0.0027260053832516,300,300,0.0276106524914724,0.0205595858947159,0.0235087988987382,0.0184148877479533,0.0211463393181899,0.0149695024972308,0.0017873274851631,0.0309574201406691,0.0108002323817484,0.0124222248194326,0.0088631889189387,0.0010482579338119,0.0184148877479532,0.0211469245108458,0.0150730159895146,0.0017873274851631,850.6333333333333,870.0,3.665905896473988e-05,3.490359055157028e-05,3.576276872841179e-05,3.49618274482934e-05,3.619229498988811e-05,3.409686723690735e-05,4.4742396376749083e-07,1.0,300
CABIQAE,cabiqae_latentt,2048,cva,0.0017501081184706,0.0012563667269193,53.0,0.005545534373573,0.0094553884937086,0.1334355190238475,26.0,0.0022321232810258,0.0014402073388083,300,300,0.0168452603015428,0.0107973674481284,0.0131712754019754,0.0094553884937085,0.0104466417544258,0.0082769919442432,0.0015955897152343,0.027636424548203,0.005545534373573,0.0061268990667193,0.0047949321751636,0.0009358047654878,0.0094553884937086,0.0104480269708788,0.0082802134737616,0.0015955897152343,1685.2666666666669,1690.0,7.303059629313928e-05,6.911306802696622e-05,7.09813243494371e-05,7.05613794143676e-05,7.331990035846108e-05,6.785476009578742e-05,9.69219075825436e-07,1.0,300
CABIQAE,cabiqae_latentt,4096,cva,0.0010354940879327,0.0005734929483509,107.0,0.0025313666702077,0.0043160953795365,0.1332773511279923,53.0,0.001562894971814,0.0007406805773751,300,300,0.0115159184489642,0.005478469216173,0.0077931058460533,0.0043160953795365,0.004879150774205,0.0037127542950789,0.001610268168897,0.0278906628234056,0.0025313666702077,0.0028615103449203,0.0021775103770395,0.0009444135994232,0.0043160953795365,0.0049192894150289,0.0037127542950789,0.001610268168897,3301.133333333333,3330.0,0.0001415697441101,0.0001350661670223,0.0001383452253122,0.0001343700545687,0.0001367890369883,0.0001308366023685,1.7250268782328831e-06,1.0,300
CABIQAE,cabiqae_latentt,8192,cva,0.0007065384631388,0.0002770902476766,194.0,0.0012230612767344,0.0020853751404456,0.1332070743974658,96.5,0.0011772505560027,0.0004096426181473,300,300,0.0088689112216318,0.0031428534504013,0.0053173930123943,0.0020853751404456,0.0023386146779506,0.0018878124983341,0.0015971088407935,0.0276627365747192,0.0012230612767344,0.0013871672260138,0.0011071918522796,0.0009366957244381,0.0020853751404456,0.0023594745991968,0.0018783196327034,0.0015971088407935,6584.266666666666,6635.0,0.0002847722179804,0.0002697094212974,0.0002769030380683,0.000272860837591,0.0002812550062827,0.0002613201218059,3.7820446360118298e-06,1.0,300
CABIQAE,cabiqae_latentt,16384,cva,0.0005436598320491,0.0001434291051761,415.0,0.0006330882662544,0.001079444306895,0.1332000396471245,207.0,0.0010224418474093,0.0002496863694767,300,300,0.007897850062763,0.0018872721234973,0.004091571999088,0.0010794443068952,0.0012628294507201,0.0009113776659646,0.0015971083158995,0.0276627274832885,0.0006330882662544,0.0007403610270984,0.0005339894988494,0.0009366954165906,0.001079444306895,0.001267029734345,0.0009110744835572,0.0015971083158995,13359.333333333334,13435.0,0.0005740129527995,0.0005464307651454,0.0005603188143814,0.0005422208708442,0.000560486486342,0.0005329227426281,7.096412435675632e-06,1.0,300
