run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,epsilon_target,budget,query_budget_actual,estimate,a_true,abs_error,normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,coverage,grover_power,grover_power_exceeds_calibration,k_max_budget,amplification_factor,t_eff,calibration_status,runtime_wall_seconds,time_to_budget_seconds,n_shots,max_grover_power,calibration_max_grover_power,execution_max_grover_power,execution_k_cap_enforced,cabiqae_hard_k_cap,cabiqae_scheduler,transpile_backend_name,use_fractional_gates_applied,transpilation_strategy,aer_method,normalized_sq_error
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,4,CABIQAE,cabiqae_latentt,0.003,2048,512.0,0.1307566190905018,0.1328730942948926,0.0021164752043908164,0.01592854607339546,0.5864946085782612,0.5771526021837243,0.009342006394536861,0.015928546073395448,0.5864946085782612,0.5771526021837243,0.009342006394536861,0.015928546073395448,0.0,1,False,1,3,88.1593891015884,ok,2.8346535941133935,2.8346535941133935,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.00025371858001228196
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,4,CABIQAE,cabiqae_latentt,0.003,4096,2432.0,0.1314287466940358,0.1328730942948926,0.0014443476008568212,0.01087012843737424,0.5864946085782612,0.5801193368551879,0.006375271723073284,0.01087012843737433,0.5864946085782612,0.5801193368551879,0.006375271723073284,0.01087012843737433,0.0,7,False,7,15,88.1593891015884,ok,13.464604572038619,13.464604572038619,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.00011815969224501216
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,4,CABIQAE,cabiqae_latentt,0.003,8192,2432.0,0.1314287466940358,0.1328730942948926,0.0014443476008568212,0.01087012843737424,0.5864946085782612,0.5801193368551879,0.006375271723073284,0.01087012843737433,0.5864946085782612,0.5801193368551879,0.006375271723073284,0.01087012843737433,0.0,7,False,7,15,88.1593891015884,ok,13.464604572038619,13.464604572038619,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.00011815969224501216
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,4,BIQAE,biqae,0.003,1024,768.0,0.14442653603488415,0.1328730942948926,0.011553441739991538,0.08695094971108557,0.5864946085782612,0.6374908717945723,0.05099626321631112,0.08695094971108543,0.5864946085782612,0.6374908717945723,0.05099626321631112,0.08695094971108543,0.0,2,False,2,5,88.1593891015884,ok,4.412281425000401,4.412281425000401,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.007560467655659731
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,4,BIQAE,biqae,0.003,2048,768.0,0.14442653603488415,0.1328730942948926,0.011553441739991538,0.08695094971108557,0.5864946085782612,0.6374908717945723,0.05099626321631112,0.08695094971108543,0.5864946085782612,0.6374908717945723,0.05099626321631112,0.08695094971108543,0.0,2,False,2,5,88.1593891015884,ok,4.412281425000401,4.412281425000401,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.007560467655659731
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,4,BIQAE,biqae,0.003,4096,3200.0,0.13115473608938655,0.1328730942948926,0.0017183582055060598,0.012932326251787382,0.5864946085782612,0.5789098689552128,0.007584739623048398,0.012932326251787358,0.5864946085782612,0.5789098689552128,0.007584739623048398,0.012932326251787358,0.0,9,False,9,19,88.1593891015884,ok,18.38450593750167,18.38450593750167,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.00016724506228266907
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,4,BIQAE,biqae,0.003,8192,3200.0,0.13115473608938655,0.1328730942948926,0.0017183582055060598,0.012932326251787382,0.5864946085782612,0.5789098689552128,0.007584739623048398,0.012932326251787358,0.5864946085782612,0.5789098689552128,0.007584739623048398,0.012932326251787358,0.0,9,False,9,19,88.1593891015884,ok,18.38450593750167,18.38450593750167,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.00016724506228266907
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,5,CABIQAE,cabiqae_latentt,0.003,1024,512.0,0.1346636415908904,0.1328730942948926,0.0017905472959977853,0.013475619767113457,0.5864946085782612,0.5943979869189239,0.007903378340662681,0.013475619767113449,0.5864946085782612,0.5943979869189239,0.007903378340662681,0.013475619767113449,0.0,1,False,1,3,88.1593891015884,ok,2.803559437031961,2.803559437031961,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.00018159232810781894
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,5,CABIQAE,cabiqae_latentt,0.003,2048,512.0,0.1346636415908904,0.1328730942948926,0.0017905472959977853,0.013475619767113457,0.5864946085782612,0.5943979869189239,0.007903378340662681,0.013475619767113449,0.5864946085782612,0.5943979869189239,0.007903378340662681,0.013475619767113449,0.0,1,False,1,3,88.1593891015884,ok,2.803559437031961,2.803559437031961,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,0.00018159232810781894
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,5,CABIQAE,cabiqae_latentt,0.003,4096,2432.0,0.1332169531831481,0.1328730942948926,0.0003438588882554994,0.0025878744683431117,0.5864946085782612,0.5880123830016217,0.0015177744233605406,0.002587874468343063,0.5864946085782612,0.5880123830016217,0.0015177744233605406,0.002587874468343063,0.0,7,False,7,15,88.1593891015884,ok,13.316907325901816,13.316907325901816,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,6.697094263902143e-06
