run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,epsilon_target,step_index,budget,query_budget,query_budget_actual,estimate,a_true,abs_error,normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,grover_power,grover_power_exceeds_calibration,k_max_budget,amplification_factor,t_eff,calibration_status,runtime_wall_seconds,time_to_budget_seconds,circuit_prepare_wall_seconds,construct_circuit_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,n_shots,max_grover_power,calibration_max_grover_power,execution_max_grover_power,execution_k_cap_enforced,cabiqae_hard_k_cap,cabiqae_scheduler,transpile_backend_name,use_fractional_gates_applied,transpilation_strategy,aer_method,construct_circuit_mode,normalized_sq_error
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,CABIQAE,cabiqae_latentt,0.003,1,256,256.0,256.0,0.13508350905585464,0.1328730942948926,0.0022104147609620373,0.016635533120470135,0.5864946085782612,0.596251259064242,0.009756650485980845,0.016635533120470156,0.5864946085782612,0.596251259064242,0.009756650485980845,0.016635533120470156,0,False,0,1,88.1593891015884,ok,1.3906202098492106,1.3906202098492106,1.4999648556113243e-05,1.4999648556113243e-05,5,0,5,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.0002767409622022588
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,CABIQAE,cabiqae_latentt,0.003,2,640,640.0,640.0,0.13842220159469912,0.1328730942948926,0.0055491072998065105,0.04176246010716865,0.5864946085782612,0.6109880662720802,0.024493457693819054,0.041762460107168525,0.5864946085782612,0.6109880662720802,0.024493457693819054,0.041762460107168525,1,False,1,3,88.1593891015884,ok,3.476550524623026,3.476550524623026,1.4999648556113243e-05,1.4999648556113243e-05,5,0,5,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.001744103074202853
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,CABIQAE,cabiqae_latentt,0.003,3,2560,2560.0,2560.0,0.12949012736476911,0.1328730942948926,0.0033829669301234933,0.025460135086607435,0.5864946085782612,0.5715623766162917,0.014932231961969467,0.02546013508660741,0.5864946085782612,0.5715623766162917,0.014932231961969467,0.02546013508660741,7,False,7,15,88.1593891015884,ok,13.906202098492104,13.906202098492104,1.4999648556113243e-05,1.4999648556113243e-05,5,0,5,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.000648218478628299
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,CABIQAE,cabiqae_latentt,0.003,4,7808,7808.0,7808.0,0.1318899956156125,0.1328730942948926,0.00098309867928012,0.007398779147103135,0.5864946085782612,0.5821552644984239,0.004339344079837271,0.007398779147103163,0.5864946085782612,0.5821552644984239,0.004339344079837271,0.007398779147103163,20,False,20,41,88.1593891015884,ok,42.41391640040092,42.41391640040092,1.4999648556113243e-05,1.4999648556113243e-05,5,0,5,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,5.474193286760819e-05
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,BIQAE,biqae,0.003,0,128,128.0,128.0,0.18553566023450707,0.1328730942948926,0.052662565939614464,0.39633731884603757,0.5864946085782612,0.8189443092598254,0.23244970068156423,0.39633731884603746,0.5864946085782612,0.8189443092598254,0.23244970068156423,0.39633731884603746,0,False,0,1,88.1593891015884,ok,0.643299970788923,0.643299970788923,7.573538999888115,7.573538999888115,4,1,6,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.15708327031006564
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,BIQAE,biqae,0.003,1,256,256.0,256.0,0.14436855863520692,0.1328730942948926,0.011495464340314315,0.08651461306983485,0.5864946085782612,0.6372349627069537,0.05074035412869249,0.08651461306983481,0.5864946085782612,0.6372349627069537,0.05074035412869249,0.08651461306983481,0,False,0,1,88.1593891015884,ok,1.286599941577846,1.286599941577846,7.573538999888115,7.573538999888115,4,1,6,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.007484778274623239
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,BIQAE,biqae,0.003,2,640,640.0,640.0,0.12779142998679324,0.1328730942948926,0.005081664308099365,0.038244494380640724,0.5864946085782612,0.5640644188162137,0.02243018976204747,0.038244494380640856,0.5864946085782612,0.5640644188162137,0.02243018976204747,0.038244494380640856,1,False,1,3,88.1593891015884,ok,3.2164998539446152,3.2164998539446152,7.573538999888115,7.573538999888115,4,1,6,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.0014626413504308599
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,BIQAE,biqae,0.003,3,2560,2560.0,2560.0,0.13277546621038577,0.1328730942948926,9.762808450683447e-05,0.0007347468276020054,0.5864946085782612,0.5860636835252026,0.0004309250530586395,0.0007347468276021455,0.5864946085782612,0.5860636835252026,0.0004309250530586395,0.0007347468276021455,7,False,7,15,88.1593891015884,ok,12.865999415778461,12.865999415778461,7.573538999888115,7.573538999888115,4,1,6,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,5.39852900671211e-07
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,1,BIQAE,biqae,0.003,4,11392,11392.0,11392.0,0.13354920689858418,0.1328730942948926,0.0006761126036915754,0.005088408660003366,0.5864946085782612,0.5894789328235961,0.0029843242453349017,0.005088408660003354,0.5864946085782612,0.5894789328235961,0.0029843242453349017,0.005088408660003354,34,True,34,69,88.1593891015884,ok,57.25369740021415,57.25369740021415,7.573538999888115,7.573538999888115,4,1,6,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,2.5891902691197253e-05
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,2,CABIQAE,cabiqae_latentt,0.003,0,128,128.0,128.0,0.10285454708529158,0.1328730942948926,0.030018547209601024,0.22591892940326355,0.5864946085782612,0.45399437450747426,0.13250023407078693,0.22591892940326364,0.5864946085782612,0.45399437450747426,0.13250023407078693,0.22591892940326364,0,False,0,1,88.1593891015884,ok,0.7135947518550825,0.7135947518550825,3.8360405998537317,3.8360405998537317,3,1,7,128,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full,0.05103936266271678
