run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,epsilon_target,final_queries,final_estimate,a_true,final_abs_error,final_normalized_abs_error,min_abs_error,min_normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,min_processed_abs_error,min_processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,ci_low,ci_high,processed_ci_low,processed_ci_high,cva_ci_low,cva_ci_high,coverage,k_max,k_max_exceeds_calibration,amplification_factor_max,t_eff,calibration_status,runtime_wall_seconds,circuit_prepare_wall_seconds,construct_circuit_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,n_shots,max_queries_requested,max_queries_reached,max_grover_power,calibration_max_grover_power,execution_max_grover_power,execution_k_cap_enforced,cabiqae_hard_k_cap,cabiqae_scheduler,transpile_backend_name,use_fractional_gates_applied,transpilation_strategy,aer_method,construct_circuit_mode
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,5,CABIQAE,cabiqae_latentt,0.003,6912.0,0.13626904545355056,0.1328730942948926,0.003395951158657956,0.025557854106423788,0.0003438588882554994,0.0025878744683431117,0.5864946085782612,0.6014841522185085,0.014989543640247294,0.025557854106423736,0.0015177744233605406,0.002587874468343063,0.5864946085782612,0.6014841522185085,0.014989543640247294,0.025557854106423736,0.1334174358801389,0.13912065502696225,0.5888973027178539,0.6140710017191632,0.5888973027178539,0.6140710017191632,0.0,17,False,35,88.1593891015884,ok,37.848052399931476,1.1300086043775082e-05,1.1300086043775082e-05,4,0,15,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,5,BIQAE,biqae,0.003,16512.0,0.13178139590907115,0.1328730942948926,0.0010916983858214602,0.008216098162044707,9.127094909025524e-05,0.0006869031655700933,0.5864946085782612,0.5816759113026722,0.0048186972755890345,0.008216098162044798,0.0004028650032222858,0.0006869031655702389,0.5864946085782612,0.5816759113026722,0.0048186972755890345,0.008216098162044798,0.13099298214784305,0.13256980967029924,0.5781958958582891,0.5851559267470552,0.5781958958582891,0.5851559267470552,0.0,51,True,103,88.1593891015884,ok,98.0881060998654,11.371987100108527,11.371987100108527,4,1,16,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,6,CABIQAE,cabiqae_latentt,0.003,10112.0,0.13001014115052917,0.1328730942948926,0.0028629531443634393,0.021546522714444575,0.0017828468194932279,0.01341766614944977,0.5864946085782612,0.5738576891726304,0.012636919405630831,0.021546522714444655,0.007869388856355353,0.013417666149449812,0.5864946085782612,0.5738576891726304,0.012636919405630831,0.021546522714444655,0.12762961613324633,0.13239066616781198,0.5633501812709669,0.5843651970742937,0.5633501812709669,0.5843651970742937,0.0,24,False,49,88.1593891015884,ok,60.064931600005366,1.5700003132224083e-05,1.5700003132224083e-05,5,0,16,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,6,BIQAE,biqae,0.003,4736.0,0.13591252425173952,0.1328730942948926,0.0030394299568469174,0.022874683343351233,0.0030394299568469174,0.022874683343351233,0.5864946085782612,0.5999104870320716,0.013415878453810426,0.022874683343351188,0.013415878453810426,0.022874683343351188,0.5864946085782612,0.5999104870320716,0.013415878453810426,0.022874683343351188,0.13324695857559887,0.13857808992788018,0.5881448251713027,0.6116761488928405,0.5881448251713027,0.6116761488928405,0.0,15,False,31,88.1593891015884,ok,26.577450299984775,3.372315999935381,3.372315999935381,2,1,17,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,7,CABIQAE,cabiqae_latentt,0.003,8320.0,0.13440385763607585,0.1328730942948926,0.0015307633411832389,0.011520491408034279,0.000630009211648741,0.004741435540370022,0.5864946085782612,0.5932513146772455,0.0067567060989842664,0.011520491408034246,0.002780826381348356,0.004741435540369994,0.5864946085782612,0.5932513146772455,0.0067567060989842664,0.011520491408034246,0.13164418585053944,0.13716352942161225,0.5810702735699274,0.6054323557845636,0.5810702735699274,0.6054323557845636,1.0,13,False,27,88.1593891015884,ok,34.5578477998497,1.3600103557109833e-05,1.3600103557109833e-05,5,0,17,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,7,BIQAE,biqae,0.003,15232.0,0.13136377416886727,0.1328730942948926,0.0015093201260253375,0.011359110239998024,0.0012993286845585927,0.00977871924676429,0.5864946085782612,0.5798325516642562,0.00666205691400501,0.01135911023999811,0.005735166117027735,0.009778719246764295,0.5864946085782612,0.5798325516642562,0.00666205691400501,0.01135911023999811,0.13051078114184064,0.1322167671958939,0.5760674868544033,0.5835976164741091,0.5760674868544033,0.5835976164741091,0.0,47,True,95,88.1593891015884,ok,87.7256553999614,1.479999627918005e-05,1.479999627918005e-05,5,0,17,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,8,CABIQAE,cabiqae_latentt,0.003,10112.0,0.131143024825078,0.1328730942948926,0.0017300694698146046,0.013020464970695766,0.0012000738189202054,0.009031729299965086,0.5864946085782612,0.578858176071766,0.00763643250649515,0.013020464970695724,0.005297060540567888,0.009031729299965175,0.5864946085782612,0.578858176071766,0.00763643250649515,0.013020464970695724,0.12877556421220143,0.13351048543795455,0.5684083337403162,0.5893080184032157,0.5684083337403162,0.5893080184032157,1.0,24,False,49,88.1593891015884,ok,56.02060989988968,1.6100122593343258e-05,1.6100122593343258e-05,5,0,17,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,8,BIQAE,biqae,0.003,14080.0,0.13272478635137613,0.1328730942948926,0.00014830794351647358,0.0011161623374806456,0.00014830794351647358,0.0011161623374806456,0.5864946085782612,0.5858399853850307,0.000654623193230508,0.001116162337480645,0.000654623193230508,0.001116162337480645,0.5864946085782612,0.5858399853850307,0.000654623193230508,0.001116162337480645,0.13182665214237516,0.13362292056037708,0.5818756698540796,0.5898043009159817,0.5818756698540796,0.5898043009159817,1.0,45,True,91,88.1593891015884,ok,80.15449999982957,10.114925000118092,10.114925000118092,3,1,18,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,9,CABIQAE,cabiqae_latentt,0.003,6912.0,0.13602346461969694,0.1328730942948926,0.0031503703248043358,0.02370961812488949,0.002019594917554629,0.01519942715469868,0.5864946085782612,0.6004001717799583,0.013905563201697113,0.023709618124889496,0.008914382079708738,0.01519942715469858,0.5864946085782612,0.6004001717799583,0.013905563201697113,0.023709618124889496,0.1330727980363591,0.1389741312030348,0.5873760900271922,0.6134242535327245,0.5873760900271922,0.6134242535327245,0.0,17,False,35,88.1593891015884,ok,42.193637199816294,1.0900082997977734e-05,1.0900082997977734e-05,4,0,18,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
simulated_noise,simulated_noise,realistic,0.05,0.125,6q_instance,cva,9,BIQAE,biqae,0.003,7168.0,0.13551467425473548,0.1328730942948926,0.002641579959842877,0.019880472972054617,0.002641579959842877,0.019880472972054617,0.5864946085782612,0.598154398792357,0.0116597902140958,0.019880472972054492,0.0116597902140958,0.019880472972054492,0.5864946085782612,0.598154398792357,0.0116597902140958,0.019880472972054492,0.13361567608935843,0.13741367242011254,0.5897723242150777,0.6065364733696363,0.5897723242150777,0.6065364733696363,0.0,21,False,43,88.1593891015884,ok,43.659663699916564,5.706729100085795,5.706729100085795,2,2,20,128,60000,False,24,24,,False,False,noise_aware_fisher_no_hard_cap,ibm_basquecountry,True,qiskit_sabre_fast_multik_fixed_layout,density_matrix,full
