rep,T_noise,a_true,algorithm,final_queries,final_estimate,final_abs_error,final_nrmse,final_coverage,runtime_seconds,k_max
7,20.0,0.05,BAE,102980,0.05057870898653945,0.0005787089865394446,0.011574179730788892,1.0,45.28457950000302,31
7,20.0,0.05,BIQAE,141480,0.04998104088054639,1.8959119453612616e-05,0.0003791823890722523,1.0,0.21821679998538457,2227
7,20.0,0.05,CABIQAE_latentt,34440,0.05725480837623707,0.007254808376237064,0.14509616752474128,0.0,4.019080700003542,9
8,20.0,0.05,BAE,102820,0.04954023732859482,0.0004597626714051839,0.009195253428103678,1.0,39.51693250000244,39
8,20.0,0.05,BIQAE,201680,0.05001740213548053,1.7402135480529268e-05,0.00034804270961058537,1.0,0.27482429999508895,3511
8,20.0,0.05,CABIQAE_latentt,310080,0.05307031980108368,0.0030703198010836805,0.06140639602167361,0.0,20.83367239998188,11
9,20.0,0.05,BAE,103420,0.05045131881945115,0.000451318819451145,0.0090263763890229,1.0,42.36026029998902,39
9,20.0,0.05,BIQAE,165000,0.05001118952593264,1.1189525932639444e-05,0.00022379051865278887,1.0,0.24841110000852495,2721
9,20.0,0.05,CABIQAE_latentt,297760,0.05395337953613671,0.003953379536136704,0.07906759072273409,0.0,21.108153700013645,11
10,20.0,0.05,BAE,102860,0.04915340227475395,0.0008465977252460552,0.016931954504921104,1.0,38.01026040001307,31
10,20.0,0.05,BIQAE,332200,0.050007698785173624,7.698785173620992e-06,0.00015397570347241984,1.0,0.5390300999861211,5359
10,20.0,0.05,CABIQAE_latentt,184080,0.05340532774378535,0.0034053277437853455,0.06810655487570691,0.0,5.670860000012908,43
11,20.0,0.05,BAE,102420,0.050156462392677355,0.000156462392677352,0.0031292478535470403,1.0,44.53243790002307,31
11,20.0,0.05,BIQAE,227480,0.050009067460769774,9.067460769771052e-06,0.00018134921539542104,1.0,0.2999190999835264,3953
11,20.0,0.05,CABIQAE_latentt,306520,0.05330928582133486,0.0033092858213348564,0.06618571642669713,0.0,20.785562499979278,11
12,20.0,0.05,BAE,102900,0.049223823643283975,0.0007761763567160282,0.015523527134320564,1.0,37.713406099996064,31
12,20.0,0.05,BIQAE,267960,0.05001038522993473,1.0385229934725682e-05,0.00020770459869451363,1.0,0.3413830999925267,4245
12,20.0,0.05,CABIQAE_latentt,298200,0.05342049870271322,0.003420498702713215,0.0684099740542643,0.0,19.878398600005312,11
13,20.0,0.05,BAE,102580,0.04937110333486873,0.0006288966651312733,0.012577933302625466,1.0,42.50112979998812,31
13,20.0,0.05,BIQAE,169400,0.05000707442260745,7.074422607444841e-06,0.00014148845214889683,1.0,0.252697599993553,2839
13,20.0,0.05,CABIQAE_latentt,105760,0.054387805418514665,0.004387805418514662,0.08775610837029324,0.0,5.0845174999849405,19
14,20.0,0.05,BAE,102940,0.05032238631787167,0.0003223863178716674,0.006447726357433348,1.0,43.02598659999785,31
14,20.0,0.05,BIQAE,173600,0.049989851029912435,1.0148970087567322e-05,0.00020297940175134643,1.0,0.250027299975045,2769
14,20.0,0.05,CABIQAE_latentt,183000,0.05272045483679662,0.0027204548367966153,0.054409096735932305,0.0,13.365174399979878,11
15,20.0,0.05,BAE,103060,0.05044033348081588,0.0004403334808158743,0.008806669616317486,1.0,39.702657699992415,31
15,20.0,0.05,BIQAE,167000,0.05000090063462454,9.006346245385433e-07,1.8012692490770865e-05,1.0,0.2378268000029493,2903
15,20.0,0.05,CABIQAE_latentt,171560,0.05434536355392117,0.004345363553921164,0.08690727107842328,0.0,4.6485748999984935,43
16,20.0,0.05,BAE,102580,0.049380144134419796,0.0006198558655802072,0.012397117311604144,1.0,39.426231300021755,31
16,20.0,0.05,BIQAE,213200,0.05000222223288716,2.222232887157116e-06,4.4444657743142324e-05,1.0,0.27333789999829605,3749
16,20.0,0.05,CABIQAE_latentt,118040,0.054718421290329014,0.004718421290329011,0.09436842580658023,0.0,5.6220925000088755,19
17,20.0,0.05,BAE,102620,0.05039922342837885,0.0003992234283788504,0.007984468567577008,1.0,43.280652100016596,31
