rep,T_noise,a_true,budget,algorithm,estimate,abs_error,nrmse,common_budget_ceiling
1,20.0,0.05,25600,CABIQAE_latentt,0.05414590359345432,0.00414590359345432,0.0829180718690864,101820
1,20.0,0.05,51200,BAE,0.050171303802857684,0.00017130380285768076,0.0034260760571536153,101820
1,20.0,0.05,51200,BIQAE,0.05005410751926685,5.4107519266849424e-05,0.0010821503853369885,101820
1,20.0,0.05,51200,CABIQAE_latentt,0.05444751099317769,0.004447510993177688,0.08895021986355375,101820
2,20.0,0.05,200,BAE,0.04684445080794884,0.0031555491920511602,0.0631109838410232,100200
2,20.0,0.05,200,BIQAE,0.05899061485460792,0.00899061485460792,0.1798122970921584,100200
2,20.0,0.05,200,CABIQAE_latentt,0.06750627274080352,0.01750627274080352,0.3501254548160704,100200
2,20.0,0.05,400,BAE,0.04684445080794884,0.0031555491920511602,0.0631109838410232,100200
2,20.0,0.05,400,BIQAE,0.06238076436581384,0.01238076436581384,0.2476152873162768,100200
2,20.0,0.05,400,CABIQAE_latentt,0.06315197606646336,0.013151976066463358,0.26303952132926717,100200
2,20.0,0.05,800,BAE,0.0614949185093494,0.011494918509349396,0.22989837018698792,100200
2,20.0,0.05,800,BIQAE,0.05747823204617146,0.007478232046171457,0.14956464092342914,100200
2,20.0,0.05,800,CABIQAE_latentt,0.04925855324360298,0.0007414467563970212,0.014828935127940424,100200
2,20.0,0.05,1600,BAE,0.05570549136773185,0.005705491367731845,0.1141098273546369,100200
2,20.0,0.05,1600,BIQAE,0.05747823204617146,0.007478232046171457,0.14956464092342914,100200
2,20.0,0.05,1600,CABIQAE_latentt,0.04454319195947315,0.005456808040526853,0.10913616081053706,100200
2,20.0,0.05,3200,BAE,0.05387825755714849,0.00387825755714849,0.0775651511429698,100200
2,20.0,0.05,3200,BIQAE,0.05144070610388643,0.0014407061038864272,0.028814122077728543,100200
2,20.0,0.05,3200,CABIQAE_latentt,0.04965738740704878,0.00034261259295122193,0.0068522518590244386,100200
2,20.0,0.05,6400,BAE,0.052037157655257536,0.0020371576552575335,0.04074315310515067,100200
2,20.0,0.05,6400,BIQAE,0.04989596526986309,0.00010403473013691211,0.0020806946027382422,100200
2,20.0,0.05,6400,CABIQAE_latentt,0.051517005823723865,0.0015170058237238618,0.030340116474477236,100200
2,20.0,0.05,12800,BAE,0.05048691962813888,0.00048691962813887657,0.009738392562777531,100200
2,20.0,0.05,12800,BIQAE,0.04989596526986309,0.00010403473013691211,0.0020806946027382422,100200
2,20.0,0.05,12800,CABIQAE_latentt,0.052808830168844786,0.0028088301688447836,0.05617660337689567,100200
2,20.0,0.05,25600,BAE,0.050957882074039854,0.0009578820740398508,0.019157641480797016,100200
2,20.0,0.05,25600,BIQAE,0.04994085491218019,5.914508781981048e-05,0.0011829017563962096,100200
2,20.0,0.05,25600,CABIQAE_latentt,0.05331047598941463,0.003310475989414627,0.06620951978829254,100200
2,20.0,0.05,51200,BAE,0.05108063752720781,0.0010806375272078075,0.02161275054415615,100200
2,20.0,0.05,51200,BIQAE,0.04994085491218019,5.914508781981048e-05,0.0011829017563962096,100200
2,20.0,0.05,51200,CABIQAE_latentt,0.05348643034897345,0.003486430348973446,0.06972860697946892,100200
3,20.0,0.05,200,BAE,0.030314649956814092,0.01968535004318591,0.3937070008637182,102300
3,20.0,0.05,200,BIQAE,0.035886414146935,0.014113585853065005,0.2822717170613001,102300
3,20.0,0.05,200,CABIQAE_latentt,0.02992375720800906,0.020076242791990943,0.40152485583981884,102300
3,20.0,0.05,400,BAE,0.07383184737716306,0.023831847377163054,0.4766369475432611,102300
3,20.0,0.05,400,BIQAE,0.04644139878035482,0.0035586012196451855,0.07117202439290371,102300
3,20.0,0.05,400,CABIQAE_latentt,0.03706854979357779,0.01293145020642221,0.2586290041284442,102300
3,20.0,0.05,800,BAE,0.05007438401814915,7.438401814914564e-05,0.0014876803629829127,102300
3,20.0,0.05,800,BIQAE,0.04644139878035482,0.0035586012196451855,0.07117202439290371,102300
