T,nll,delta_nll
94.6620775970,15325.2044714422,6254.5831462262
95.9073842303,15242.4789709206,6171.8576457046
97.1526908636,15161.3225206655,6090.7011954495
98.3979974969,15081.6958820133,6011.0745567973
99.6433041302,15003.5609716368,5932.9396464208
100.8886107635,14926.8808262088,5856.2595009928
102.1339173967,14851.6195679152,5780.9982426992
103.3792240300,14777.7423708310,5707.1210456150
104.6245306633,14705.2154281677,5634.5941029517
105.8698372966,14634.0059203963,5563.3845951803
107.1151439299,14564.0819842465,5493.4606590305
108.3604505632,14495.4126825787,5424.7913573627
109.6057571965,14427.9679751226,5357.3466499066
110.8510638298,14361.7186900742,5291.0973648581
112.0963704631,14296.6364965401,5226.0151713240
113.3416770964,14232.6938778170,5162.0725526010
114.5869837297,14169.8641054919,5099.2427802759
115.8322903630,14108.1212143473,5037.4998891312
117.0775969962,14047.4399780559,4976.8186528399
118.3229036295,13987.7958856472,4917.1745604312
119.5682102628,13929.1651187273,4858.5437935113
120.8135168961,13871.5245294346,4800.9032042185
122.0588235294,13814.8516191122,4744.2302938961
123.3041301627,13759.1245176778,4688.5031924618
124.5494367960,13704.3219636723,4633.7006384563
125.7947434293,13650.4232849679,4579.8019597519
127.0400500626,13597.4083801163,4526.7870549002
128.2853566959,13545.2577003184,4474.6363751023
129.5306633292,13493.9522319968,4423.3309067808
130.7759699625,13443.4734799521,4372.8521547361
132.0212765957,13393.8034510848,4323.1821258688
133.2665832290,13344.9246386651,4274.3033134491
134.5118898623,13296.8200071329,4226.1986819168
135.7571964956,13249.4729774104,4178.8516521944
137.0025031289,13202.8674127112,4132.2460874952
138.2478097622,13156.9876048279,4086.3662796118
139.4931163955,13111.8182608838,4041.1969356678
140.7384230288,13067.3444905326,3996.7231653165
141.9837296621,13023.5517935896,3952.9304683735
143.2290362954,12980.4260480815,3909.8047228655
144.4743429287,12937.9534986991,3867.3321734831
145.7196495620,12896.1207456394,3825.4994204234
146.9649561952,12854.9147338236,3784.2934086076
148.2102628285,12814.3227424781,3743.7014172621
149.4555694618,12774.3323750648,3703.7110498488
150.7008760951,12734.9315495500,3664.3102243340
151.9461827284,12696.1084889990,3625.4871637830
153.1914893617,12657.8517124846,3587.2303872686
154.4367959950,12620.1500262995,3549.5287010835
155.6821026283,12582.9925154613,3512.3711902453
156.9274092616,12546.3685354991,3475.7472102831
158.1727158949,12510.2677045134,3439.6463792974
159.4180225282,12474.6798954973,3404.0585702813
160.6633291615,12439.5952289124,3368.9739036963
161.9086357947,12405.0040655077,3334.3827402917
163.1539424280,12370.8969993755,3300.2756741595
164.3992490613,12337.2648512332,3266.6435260171
165.6445556946,12304.0986619254,3233.4773367094
166.8898623279,12271.3896861375,3200.7683609215
168.1351689612,12239.1293863123,3168.5080610963
169.3804755945,12207.3094267647,3136.6881015487
170.6257822278,12175.9216679856,3105.3003427696
171.8710888611,12144.9581611291,3074.3368359131
173.1163954944,12114.4111426764,3043.7898174603
174.3617021277,12084.2730292702,3013.6517040541
175.6070087610,12054.5364127141,2983.9150874981
176.8523153942,12025.1940551305,2954.5727299144
178.0976220275,11996.2388842711,2925.6175590550
179.3429286608,11967.6639889766,2897.0426637606
180.5882352941,11939.4626147783,2868.8412895623
181.8335419274,11911.6281596377,2841.0068344217
183.0788485607,11884.1541698189,2813.5328446029
184.3241551940,11857.0343358900,2786.4130106740
185.5694618273,11830.2624888482,2759.6411636322
186.8147684606,11803.8325963641,2733.2112711481
188.0600750939,11777.7387591429,2707.1174339269
189.3053817272,11751.9752073958,2681.3538821798
190.5506883605,11726.5362974204,2655.9149722044
191.7959949937,11701.4165082848,2630.7951830688
193.0413016270,11676.6104386122,2605.9891133962
194.2866082603,11652.1128034631,2581.4914782471
195.5319148936,11627.9184313115,2557.2971060955
196.7772215269,11604.0222611112,2533.4009358952
198.0225281602,11580.4193394508,2509.7980142348
199.2678347935,11557.1048177929,2486.4834925768
200.5131414268,11534.0739497951,2463.4526245791
201.7584480601,11511.3220887114,2440.7007634954
203.0037546934,11488.8446848684,2418.2233596524
204.2490613267,11466.6372832173,2396.0159580013
205.4943679599,11444.6955209565,2374.0741957405
206.7396745932,11423.0151252240,2352.3938000080
