a_true,abs_error,algorithm,algorithm_key,budget,epsilon_target,estimate,normalized_abs_error,normalized_sq_error,objective_ry_offset,phase,query_budget_actual,repetition,run_kind,runtime_wall_seconds,step_index
0.530324472540106,0.007035436758016322,CABIQAE,cabiqae_latentt,160,0.05,0.5373599092981223,0.013266287192666308,0.00017599437587830213,0.48,1_iterative,160.0,50710116,ideal_simulation_v2,0.03553771999941091,50000000
0.530324472540106,0.0010075494239651928,CABIQAE,cabiqae_latentt,1220,0.01,0.5293169231161408,0.0018998735229760616,3.6095194033054715e-06,0.48,1_iterative,1220.0,10710119,ideal_simulation_v2,0.13298163999934332,10000000
0.49216902723816036,1.59957646990172e-05,CABIQAE,cabiqae_latentt,102540,0.0001,0.4921850230028594,3.2500551261379674e-05,1.0562858322935678e-09,0.44,1_iterative,102540.0,910122,ideal_simulation_v2,11.084278557000289,100000
0.49216902723816036,0.005336930719501087,CABIQAE,cabiqae_latentt,1580,0.005,0.4868320965186593,0.010843694796175276,0.00011758571683259877,0.44,1_iterative,1580.0,5810125,ideal_simulation_v2,0.19684339500054193,5000000
0.49216902723816036,0.0002220182551289085,CABIQAE,cabiqae_latentt,11580,0.001,0.49194700898303145,0.00045110163956228386,2.0349268921578066e-07,0.44,1_iterative,11580.0,1810128,ideal_simulation_v2,1.1330907019982988,1000000
0.49216902723816036,0.010691282725246665,CABIQAE,cabiqae_latentt,130,0.05,0.4814777445129137,0.021722786550062927,0.0004718794554995948,0.44,1_iterative,130.0,50810131,ideal_simulation_v2,0.027222552998864558,50000000
0.49216902723816036,0.02256028630151341,CABIQAE,cabiqae_latentt,600,0.01,0.5147293135396738,0.04583849257664989,0.002101167401699587,0.44,1_iterative,600.0,10810134,ideal_simulation_v2,0.08334502499928931,10000000
0.530324472540106,7.871740409060024e-06,CABIQAE,cabiqae_latentt,106470,0.0001,0.530332344280515,1.4843253171698051e-05,2.2032216471912425e-10,0.48,1_iterative,106470.0,1010137,ideal_simulation_v2,12.73654324600102,100000
0.530324472540106,0.0020395687123393458,CABIQAE,cabiqae_latentt,1940,0.005,0.5323640412524453,0.0038458883531630773,1.4790857224995407e-05,0.48,1_iterative,1940.0,5910140,ideal_simulation_v2,0.2641878340000403,5000000
0.530324472540106,6.495163028019668e-05,CABIQAE,cabiqae_latentt,9640,0.001,0.5302595209098258,0.0001224752649431706,1.5000190522899835e-08,0.48,1_iterative,9640.0,1910143,ideal_simulation_v2,1.1983751650004706,1000000
0.530324472540106,0.008379745939374073,CABIQAE,cabiqae_latentt,150,0.05,0.5219447266007319,0.01580116772518046,0.0002496769014792846,0.48,1_iterative,150.0,50910146,ideal_simulation_v2,0.06089584199980891,50000000
0.530324472540106,0.008320879945421966,CABIQAE,cabiqae_latentt,1280,0.01,0.5386453524855279,0.015690167767607024,0.0002461813645756544,0.48,1_iterative,1280.0,10910149,ideal_simulation_v2,0.1885670810006559,10000000
0.6056665183230261,3.383785144162044e-05,CABIQAE,cabiqae_latentt,114010,0.0001,0.6057003561744677,5.586878326262929e-05,3.121320943246647e-09,0.56,1_iterative,114010.0,1110152,ideal_simulation_v2,12.733791009000925,100000
