a_true,abs_error,algorithm,algorithm_key,amplification_factor,budget,estimate,grover_power,k_max_budget,normalized_abs_error,normalized_sq_error,objective_ry_offset,query_budget,query_budget_actual,repetition,run_kind,runtime_wall_seconds,step_index,time_to_budget_seconds
0.3602728053304129,0.0029069525331444357,IQAE,iqae,35,1360,0.36317975786355733,17,17,0.008068753705899104,6.510478636646227e-05,0.3,1360.0,1360.0,49,ideal_simulation,0.12619328094381282,15,0.12619328094381282
0.3602728053304129,0.0002852059796159545,IQAE,iqae,79,2150,0.36055801131002885,39,39,0.0007916389341526536,6.26692202066396e-07,0.3,2150.0,2150.0,49,ideal_simulation,0.19949673090382178,16,0.19949673090382178
0.3602728053304129,0.0006471990402400207,IQAE,iqae,79,2940,0.3609200043706529,39,39,0.0017964138027194766,3.2271025506013296e-06,0.3,2940.0,2940.0,49,ideal_simulation,0.2728001808638307,17,0.2728001808638307
0.3602728053304129,0.00046732791398196305,IQAE,iqae,167,4610,0.35980547741643093,83,83,0.0012971501236496825,1.6825984432845001e-06,0.3,4610.0,4610.0,49,ideal_simulation,0.4277581067286597,18,0.4277581067286597
0.3602728053304129,0.00024015721778053445,IQAE,iqae,167,6280,0.3605129625481934,83,83,0.0006665982395209702,4.443532129323176e-07,0.3,6280.0,6280.0,49,ideal_simulation,0.5827160325934886,19,0.5827160325934886
0.3602728053304129,0.0006842223587377183,IQAE,iqae,167,7950,0.3609570276891506,83,83,0.0018991784797917379,3.606878898103942e-06,0.3,7950.0,7950.0,49,ideal_simulation,0.7376739584583177,20,0.7376739584583177
0.3602728053304129,0.0002707338188192576,IQAE,iqae,389,11840,0.36054353914923215,194,194,0.000751468928027922,5.647055497914157e-07,0.3,11840.0,11840.0,49,ideal_simulation,1.0986238576284881,21,1.0986238576284881
0.3602728053304129,4.352082267650159e-05,IQAE,iqae,389,15730,0.3603163261530894,194,194,0.00012079963303527125,1.4592551341448673e-08,0.3,15730.0,15730.0,49,ideal_simulation,1.4595737567986586,22,1.4595737567986586
0.3602728053304129,0.00032306086110756027,IQAE,iqae,809,23820,0.35994974446930533,404,404,0.0008967117593326955,8.040919793255502e-07,0.3,23820.0,23820.0,49,ideal_simulation,2.210238200060016,23,2.210238200060016
0.3602728053304129,0.0002874337899718138,IQAE,iqae,809,31910,0.3599853715404411,404,404,0.0007978226103083271,6.365209175192501e-07,0.3,31910.0,31910.0,49,ideal_simulation,2.960902643321373,24,2.960902643321373
0.3602728053304129,4.084425920714008e-05,IQAE,iqae,1683,48740,0.36023196107120575,841,841,0.00011337036435398183,1.2852839513757115e-08,0.3,48740.0,48740.0,49,ideal_simulation,4.522544495001057,25,4.522544495001057
0.3602728053304129,0.03173537007723565,CABIQAE,cabiqae_latentt,1,10,0.32853743525317725,0,0,0.08808705405374838,0.007759329091867991,0.3,10.0,10.0,49,ideal_simulation,0.0009432802602525762,0,0.0009432802602525762
0.3602728053304129,0.12284780411481622,CABIQAE,cabiqae_latentt,1,20,0.23742500121559668,0,0,0.3409855040325628,0.11627111396034089,0.3,20.0,20.0,49,ideal_simulation,0.0018865605205051525,1,0.0018865605205051525
0.3602728053304129,0.162436270002422,CABIQAE,cabiqae_latentt,1,30,0.1978365353279909,0,0,0.4508701950274839,0.2032839327641214,0.3,30.0,30.0,49,ideal_simulation,0.0028298407807577286,2,0.0028298407807577286
