algorithm,algorithm_key,plot_label,budget,query_budget_actual_mean,query_budget_actual_median,query_budget_actual_min,query_budget_actual_max,normalized_abs_error_median,normalized_abs_error_median_ci_low,normalized_abs_error_median_ci_high,normalized_abs_error_q25,normalized_abs_error_q75,n_points,n_runs,source,source_file
CABIQAE,cabiqae_latentt,CABIQAE,3381,2669.7,2645.0,1810.0,3380.0,0.0016281923532257,0.0012265110488343,0.0018449385914858,0.0006365177605973751,0.003148159766722875,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
CABIQAE,cabiqae_latentt,CABIQAE,5740,4439.4,4315.0,3350.0,5720.0,0.0010341982399203501,0.0008194477481926,0.0013572453290866453,0.000537736645869875,0.00200542793218975,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
CABIQAE,cabiqae_latentt,CABIQAE,9745,7917.5,8130.0,5720.0,9650.0,0.0006461498431479999,0.00048681953451155,0.0007575632416882,0.0002333155894544,0.0010935411497387999,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
CABIQAE,cabiqae_latentt,CABIQAE,16547,13274.8,13690.0,9110.0,16540.0,0.00033274981166684996,0.0002382790786127,0.00042143936253905,0.0001366651799201,0.000587499034973,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
CABIQAE,cabiqae_latentt,CABIQAE,28094,22644.1,22675.0,13100.0,28000.0,0.00019341756975915,0.0001530269487714,0.0002443135162183,8.845150007738473e-05,0.00034592867987967503,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
CABIQAE,cabiqae_latentt,CABIQAE,47701,38085.8,37990.0,26200.0,47660.0,0.00011083839347880001,8.888322332579511e-05,0.0001426036639688,5.4879681066765756e-05,0.0002267578941657,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
CABIQAE,cabiqae_latentt,CABIQAE,80990,53427.1,52030.0,31240.0,80990.0,8.017137327993387e-05,5.9703412876784445e-05,9.801014202692927e-05,2.899920565350304e-05,0.0001364532533102,100,100,hardware_plotter_dense_snapshots_non_v2,bae_biqae_iqae_cabiqae_latentt_ideal_budget_rows.csv
Classical MC,classical_mc,DCS,141,140.0,140.0,140.0,140.0,0.0492409884160836,0.04040652947041,0.0572368745715201,0.021394657499068426,0.08875636497819082,100,100,hardware_plotter_dense_snapshots_non_v2,classical_mc_ideal_budget_rows.csv
Classical MC,classical_mc,DCS,240,240.0,240.0,240.0,240.0,0.039754199653739206,0.0270362622229098,0.0485620983932314,0.0156291083278178,0.0654615300588422,100,100,hardware_plotter_dense_snapshots_non_v2,classical_mc_ideal_budget_rows.csv
Classical MC,classical_mc,DCS,407,400.0,400.0,400.0,400.0,0.0246217777158867,0.019763528334047,0.030401037270703972,0.011439975537481401,0.0425426565704944,100,100,hardware_plotter_dense_snapshots_non_v2,classical_mc_ideal_budget_rows.csv
Classical MC,classical_mc,DCS,691,690.0,690.0,690.0,690.0,0.0242568326209147,0.0188558149955824,0.0270595710369212,0.012551011993411526,0.03444081080109013,100,100,hardware_plotter_dense_snapshots_non_v2,classical_mc_ideal_budget_rows.csv
Classical MC,classical_mc,DCS,1173,1170.0,1170.0,1170.0,1170.0,0.013858370509447101,0.010507771092657088,0.017869756443725,0.00719261533673585,0.028291426707396875,100,100,hardware_plotter_dense_snapshots_non_v2,classical_mc_ideal_budget_rows.csv
Classical MC,classical_mc,DCS,1991,1990.0,1990.0,1990.0,1990.0,0.01183433843384735,0.0087640314270607,0.0153078049932458,0.00482877491334175,0.021943819411915498,100,100,hardware_plotter_dense_snapshots_non_v2,classical_mc_ideal_budget_rows.csv
Classical MC,classical_mc,DCS,3381,3380.0,3380.0,3380.0,3380.0,0.00946518978474865,0.0079934890687447,0.01237658483272925,0.00568992860387065,0.0181758948065837,100,100,hardware_plotter_dense_snapshots_non_v2,classical_mc_ideal_budget_rows.csv
Classical MC,classical_mc,DCS,5740,5730.0,5730.0,5730.0,5730.0,0.00677260682281165,0.0051283851926913,0.00843039402535405,0.0035602676285080752,0.0122863938782621,100,100,hardware_plotter_dense_snapshots_non_v2,classical_mc_ideal_budget_rows.csv
Classical MC,classical_mc,DCS,9745,9740.0,9740.0,9740.0,9740.0,0.006036706570961449,0.0053257639704912,0.0069175765605304,0.0031659671166831,0.0100420450615077,100,100,hardware_plotter_dense_snapshots_non_v2,classical_mc_ideal_budget_rows.csv
Classical MC,classical_mc,DCS,16547,16540.0,16540.0,16540.0,16540.0,0.0040671404735636504,0.003315197556035,0.00528412282586835,0.002406705324202525,0.0070337241929764,100,100,hardware_plotter_dense_snapshots_non_v2,classical_mc_ideal_budget_rows.csv
Classical MC,classical_mc,DCS,28094,28000.0,28000.0,28000.0,28000.0,0.0029124751909377997,0.00242871509326805,0.003528880165430933,0.0014178133905239751,0.004631720793082425,100,100,hardware_plotter_dense_snapshots_non_v2,classical_mc_ideal_budget_rows.csv
Classical MC,classical_mc,DCS,47701,47660.0,47660.0,47660.0,47660.0,0.0022080856225529,0.0017407698225387,0.0026360728270337,0.0010202047665343,0.0036066109522164,100,100,hardware_plotter_dense_snapshots_non_v2,classical_mc_ideal_budget_rows.csv
Classical MC,classical_mc,DCS,80990,80990.0,80990.0,80990.0,80990.0,0.001907215629211,0.0016280689829703998,0.0024277600510311,0.0009436152778467,0.003081105737625375,100,100,hardware_plotter_dense_snapshots_non_v2,classical_mc_ideal_budget_rows.csv
