a_true,abs_error,algorithm,algorithm_key,confidence_interval,elapsed_runtime_seconds,epsilon_target,final_estimate,max_queries_bae,n_shots,num_queries,objective_ry_offset,phase,rel_error,repetition
0.49216902723816036,0.0015522613583235922,BIQAE,biqae,"[np.float64(0.48963188605584945), np.float64(0.49781069113711846)]",0.5479263640008867,0.005,0.49372128859648395,,,2900,0.44,1_iterative,0.0031539192277787397,8
0.49216902723816036,0.0017012614934368009,IQAE,iqae,"[np.float64(0.4896754773364838), np.float64(0.4980651001267105)]",0.29163067400077125,0.005,0.49387028873159716,,,2600,0.44,1_iterative,0.0034566610235177626,8
0.49216902723816036,0.005336930719501087,CABIQAE,cabiqae_latentt,"(0.48317933882725306, 0.4904848542100655)",0.19684339500054193,0.005,0.4868320965186593,,,1580,0.44,1_iterative,0.010843694796175276,8
0.49216902723816036,0.0006376648538002905,BIQAE,biqae,"[np.float64(0.49053387875336923), np.float64(0.4925288460153509)]",1.5497800900011498,0.001,0.49153136238436007,,,9760,0.44,1_iterative,0.0012956216635138333,8
0.49216902723816036,0.0005343000897023442,IQAE,iqae,"[np.float64(0.49182851191298754), np.float64(0.49357814274273787)]",1.030844431999867,0.001,0.4927033273278627,,,10000,0.44,1_iterative,0.0010856028318169575,8
0.49216902723816036,0.0002220182551289085,CABIQAE,cabiqae_latentt,"(0.4911888814920925, 0.4927051364739704)",1.1330907019982988,0.001,0.49194700898303145,,,11580,0.44,1_iterative,0.00045110163956228386,8
0.49216902723816036,0.01385800795283526,BIQAE,biqae,"[np.float64(0.4297492008645114), np.float64(0.5268728377061388)]",0.07002282699977513,0.05,0.4783110192853251,,,150,0.44,1_iterative,0.028157009453846384,8
0.49216902723816036,0.007830972761839639,IQAE,iqae,"[np.float64(0.46164198682374175), np.float64(0.5383580131762583)]",0.03629413900125655,0.05,0.5,,,230,0.44,1_iterative,0.01591114501004598,8
0.49216902723816036,0.010691282725246665,CABIQAE,cabiqae_latentt,"(0.4343009932137656, 0.5286544958120618)",0.027222552998864558,0.05,0.4814777445129137,,,130,0.44,1_iterative,0.021722786550062927,8
0.49216902723816036,0.005041263420882625,BIQAE,biqae,"[np.float64(0.48724751060359156), np.float64(0.5071730707144945)]",0.3927846199985652,0.01,0.497210290659043,,,900,0.44,1_iterative,0.010242951388412257,8
0.49216902723816036,0.003448800756402859,IQAE,iqae,"[np.float64(0.4796302539628699), np.float64(0.4978101990006451)]",0.1764111070006038,0.01,0.4887202264817575,,,1320,0.44,1_iterative,0.007007350250697482,8
0.49216902723816036,0.02256028630151341,CABIQAE,cabiqae_latentt,"(0.508314891277461, 0.5211437358018866)",0.08334502499928931,0.01,0.5147293135396738,,,600,0.44,1_iterative,0.04583849257664989,8
0.530324472540106,9.596596167948945e-06,BIQAE,biqae,"[np.float64(0.5302358258848), np.float64(0.5304323123877477)]",11.45901760400011,0.0001,0.5303340691362739,,,108270,0.48,1_iterative,1.8095706807539792e-05,9
0.530324472540106,1.3027539538246202e-05,IQAE,iqae,"[np.float64(0.5302376619951155), np.float64(0.53038522800602)]",14.268321736000871,0.0001,0.5303114450005677,,,144270,0.48,1_iterative,2.4565224146356908e-05,9
0.530324472540106,7.871740409060024e-06,CABIQAE,cabiqae_latentt,"(0.5302527227318657, 0.5304119658291643)",12.73654324600102,0.0001,0.530332344280515,,,106470,0.48,1_iterative,1.4843253171698051e-05,9
0.530324472540106,0.00059792662858138,BIQAE,biqae,"[np.float64(0.5277661161430944), np.float64(0.5340786821942803)]",0.6786767989997315,0.005,0.5309223991686873,,,2980,0.48,1_iterative,0.0011274731971494332,9
0.530324472540106,0.0016155943852662613,IQAE,iqae,"[np.float64(0.5241082177169071), np.float64(0.5333095385927722)]",0.30694323100033216,0.005,0.5287088781548397,,,2450,0.48,1_iterative,0.0030464262332228717,9
0.530324472540106,0.0020395687123393458,CABIQAE,cabiqae_latentt,"(0.5275666053302435, 0.5371614771746472)",0.2641878340000403,0.005,0.5323640412524453,,,1940,0.48,1_iterative,0.0038458883531630773,9
0.530324472540106,1.3256117868287731e-05,BIQAE,biqae,"[np.float64(0.5297234520512624), np.float64(0.530898980793213)]",1.9041507250003633,0.001,0.5303112164222377,,,13880,0.48,1_iterative,2.4996240141049182e-05,9
0.530324472540106,0.0001653068664354551,IQAE,iqae,"[np.float64(0.5292408081244363), np.float64(0.5310775232229047)]",0.7114375460005249,0.001,0.5301591656736705,,,7590,0.48,1_iterative,0.0003117089159466495,9
0.530324472540106,6.495163028019668e-05,CABIQAE,cabiqae_latentt,"(0.5293402751467758, 0.5311787666728756)",1.1983751650004706,0.001,0.5302595209098258,,,9640,0.48,1_iterative,0.0001224752649431706,9
0.530324472540106,0.011502817492919704,BIQAE,biqae,"[np.float64(0.4706161064654713), np.float64(0.5670272036289011)]",0.060734056000001146,0.05,0.5188216550471862,,,170,0.48,1_iterative,0.02169015025428569,9
0.530324472540106,0.010827736864597148,IQAE,iqae,"[np.float64(0.4792079954329166), np.float64(0.559785475918101)]",0.047438978999707615,0.05,0.5194967356755088,,,270,0.48,1_iterative,0.020417192540135506,9
0.530324472540106,0.008379745939374073,CABIQAE,cabiqae_latentt,"(0.47582154892947076, 0.5680679042719929)",0.06089584199980891,0.05,0.5219447266007319,,,150,0.48,1_iterative,0.01580116772518046,9
0.530324472540106,0.0038229716619524456,BIQAE,biqae,"[np.float64(0.5268094951304066), np.float64(0.5414853932737101)]",0.2975435139996989,0.01,0.5341474442020584,,,1110,0.48,1_iterative,0.0072087407990837765,9
