a_true,abs_error,algorithm,algorithm_key,amplification_factor,budget,estimate,grover_power,normalized_abs_error,query_budget_actual,repetition,replay_probability_extrapolated,replay_probability_source,run_kind,runtime_wall_seconds
0.3602728053304129,0.0004629355548647629,CABIQAE,cabiqae_latentt,3,2048,0.36073574088527766,1,0.0012849583649262566,1024.0,58,True,measured,hardware_replay,0.026926314018701557
0.3602728053304129,0.001731834902366336,CABIQAE,cabiqae_latentt,11,4096,0.35854097042804656,5,0.004807009790200618,3840.0,58,True,measured,hardware_replay,0.10097367757013084
0.3602728053304129,0.0018730143430376045,CABIQAE,cabiqae_latentt,11,8192,0.3583997909873753,5,0.005198877948391992,6656.0,58,True,measured,hardware_replay,0.17502104112156014
0.3602728053304129,9.755030061703307e-05,CABIQAE,cabiqae_latentt,23,16384,0.36017525502979586,11,0.00027076787138448566,15360.0,58,True,measured,hardware_replay,0.4038947102805234
0.3602728053304129,0.00012845027014712906,CABIQAE,cabiqae_latentt,23,32768,0.36040125560056,11,0.0003565361255322198,27136.0,58,True,measured,hardware_replay,0.7135473214955913
0.3602728053304129,0.0003297221591277433,CABIQAE,cabiqae_latentt,23,65536,0.35994308317128515,11,0.0009152013536668385,62464.0,58,True,measured,hardware_replay,1.642505155140795
0.3602728053304129,0.04003343859215752,BIQAE,biqae,1,256,0.4003062439225704,0,0.11111979033622066,256.0,58,True,measured,hardware_replay,0.006844385599717498
0.3602728053304129,0.04003343859215752,BIQAE,biqae,1,512,0.4003062439225704,0,0.11111979033622066,256.0,58,True,measured,hardware_replay,0.006844385599717498
0.3602728053304129,0.015008183436384603,BIQAE,biqae,3,1024,0.3752809887667975,1,0.041657830439409155,1024.0,58,True,measured,hardware_replay,0.02737754239886999
0.3602728053304129,0.015008183436384603,BIQAE,biqae,3,2048,0.3752809887667975,1,0.041657830439409155,1024.0,58,True,measured,hardware_replay,0.02737754239886999
0.3602728053304129,0.015008183436384603,BIQAE,biqae,3,4096,0.3752809887667975,1,0.041657830439409155,1024.0,58,True,measured,hardware_replay,0.02737754239886999
0.3602728053304129,0.006266407115806227,BIQAE,biqae,25,8192,0.3665392124462191,12,0.017393505763109676,7424.0,58,True,measured,hardware_replay,0.19848718239180746
0.3602728053304129,0.006266407115806227,BIQAE,biqae,25,16384,0.3665392124462191,12,0.017393505763109676,7424.0,58,True,measured,hardware_replay,0.19848718239180746
0.3602728053304129,0.006266407115806227,BIQAE,biqae,25,32768,0.3665392124462191,12,0.017393505763109676,7424.0,58,True,measured,hardware_replay,0.19848718239180746
0.3602728053304129,0.0020775422153817558,BAE,bae,1,256,0.36235034754579465,0,0.005766580726170556,256.0,58,True,measured,hardware_replay,0.12997197968007423
