profile,phase,repetition,scenario_id,algorithm,algorithm_key,epsilon_target,objective_ry_offset,a_true,final_estimate,abs_error,rel_error,num_queries,elapsed_runtime_seconds,confidence_interval,max_queries_bae_target,n_shots,bae_kind,noise_profile
realistic,iterative,3,1,CABIQAE_latentt,cabiqae_latentt,0.0001,0.1,0.1923435405926084,0.1910671765143293,0.0012763640782790797,0.006635856209918023,363776,93.52015340002254,"(0.1909672938327942, 0.19116705919586444)",nan,,hardware,realistic
realistic,iterative,3,1,CABIQAE_latentt,cabiqae_latentt,0.001,0.1,0.1923435405926084,0.19422150454837658,0.001877963955768197,0.009763592528151505,106624,18.444918699999107,"(0.1932310315959537, 0.19521197750079947)",nan,,hardware,realistic
realistic,iterative,3,1,CABIQAE_latentt,cabiqae_latentt,0.0025,0.1,0.1923435405926084,0.18963899177288546,0.0027045488197229295,0.014061032730240088,31616,5.14578370001982,"(0.18713956337243232, 0.19213842017333863)",nan,,hardware,realistic
realistic,iterative,3,1,CABIQAE_latentt,cabiqae_latentt,0.005,0.1,0.1923435405926084,0.19147061525456185,0.0008729253380465318,0.004538365756172826,11776,2.46025869998266,"(0.1865822922047841, 0.19635893830433962)",nan,,hardware,realistic
realistic,iterative,3,1,CABIQAE_latentt,cabiqae_latentt,0.0075,0.1,0.1923435405926084,0.18524084710154004,0.007102693491068346,0.036927122528705794,6016,1.336113600002136,"(0.17824920409349712, 0.192232490109583)",nan,,hardware,realistic
realistic,iterative,3,1,CABIQAE_latentt,cabiqae_latentt,0.01,0.1,0.1923435405926084,0.19076958641139502,0.0015739541812133662,0.008183036333656073,3968,0.8364540000038687,"(0.18127022723103622, 0.20026894559175384)",nan,,hardware,realistic
realistic,iterative,4,1,CABIQAE_latentt,cabiqae_latentt,0.0001,0.1,0.1923435405926084,0.19163614027140596,0.0007074003212024227,0.0036777960883060063,300416,76.3761314000003,"(0.19153645353662926, 0.1917358270061827)",nan,,hardware,realistic
realistic,iterative,4,1,CABIQAE_latentt,cabiqae_latentt,0.001,0.1,0.1923435405926084,0.18756087032937563,0.004782670263232758,0.024865250210625228,57856,11.96414310002001,"(0.18657773429983845, 0.18854400635891283)",nan,,hardware,realistic
realistic,iterative,4,1,CABIQAE_latentt,cabiqae_latentt,0.0025,0.1,0.1923435405926084,0.19042958556064915,0.0019139550319592358,0.009950711243342828,27776,5.884188500000164,"(0.1879614283038764, 0.1928977428174219)",nan,,hardware,realistic
realistic,iterative,4,1,CABIQAE_latentt,cabiqae_latentt,0.005,0.1,0.1923435405926084,0.18887894682229184,0.0034645937703165486,0.0180125298704712,9088,1.9272502999810968,"(0.1839611593996675, 0.19379673424491614)",nan,,hardware,realistic
