profile,scenario_id,objective_ry_offset,a_true,rep,step_index,algorithm,budget,query_budget,query_budget_actual,estimate,abs_error,normalized_abs_error,nrmse,amplification_factor,k_max_budget,time_to_budget_seconds,runtime_seconds
realistic,1,0.3,0.3602728053304129,1,14,CABIQAE_latentt,14208.0,14208.0,14208.0,0.3607681463452589,0.0004953410148459958,0.0013749053703670732,0.0013749053703670732,9,9,2.235457212499858,2.235457212499858
realistic,1,0.3,0.3602728053304129,1,15,CABIQAE_latentt,15360.0,15360.0,15360.0,0.36082106940970454,0.0005482640792916493,0.0015218025651112528,0.0015218025651112528,9,9,2.416710499999846,2.416710499999846
realistic,1,0.3,0.3602728053304129,1,16,CABIQAE_latentt,16512.0,16512.0,16512.0,0.36092309395448086,0.0006502886240679628,0.0018049894814335793,0.0018049894814335793,9,9,2.5979637874998347,2.5979637874998347
realistic,1,0.3,0.3602728053304129,1,17,CABIQAE_latentt,17664.0,17664.0,17664.0,0.3608722561081896,0.0005994507777767333,0.0016638801733230067,0.0016638801733230067,9,9,2.7792170749998233,2.7792170749998233
realistic,1,0.3,0.3602728053304129,1,18,CABIQAE_latentt,18816.0,18816.0,18816.0,0.3608105114952517,0.0005377061648387804,0.0014924972323282634,0.0014924972323282634,9,9,2.960470362499812,2.960470362499812
realistic,1,0.3,0.3602728053304129,1,19,CABIQAE_latentt,19968.0,19968.0,19968.0,0.36092695586905565,0.0006541505386427615,0.0018157088988241226,0.0018157088988241226,9,9,3.1417236499998,3.1417236499998
realistic,1,0.3,0.3602728053304129,1,20,CABIQAE_latentt,21120.0,21120.0,21120.0,0.36094619530302235,0.0006733899726094617,0.0018691113030079613,0.0018691113030079613,9,9,3.3229769374997886,3.3229769374997886
realistic,1,0.3,0.3602728053304129,1,21,CABIQAE_latentt,22272.0,22272.0,22272.0,0.36102391946900825,0.0007511141385953546,0.002084848280198373,0.002084848280198373,9,9,3.504230224999777,3.504230224999777
realistic,1,0.3,0.3602728053304129,1,22,CABIQAE_latentt,23424.0,23424.0,23424.0,0.36113102119953394,0.0008582158691210484,0.0023821278109902376,0.0023821278109902376,9,9,3.6854835124997654,3.6854835124997654
realistic,1,0.3,0.3602728053304129,1,23,CABIQAE_latentt,24576.0,24576.0,24576.0,0.3612285605871315,0.0009557552567185934,0.0026528653913859873,0.0026528653913859873,9,9,3.866736799999754,3.866736799999754
realistic,1,0.3,0.3602728053304129,1,24,CABIQAE_latentt,25728.0,25728.0,25728.0,0.3613693446346763,0.0010965393042633997,0.003043636067001347,0.003043636067001347,9,9,4.047990087499742,4.047990087499742
realistic,1,0.3,0.3602728053304129,1,25,CABIQAE_latentt,26880.0,26880.0,26880.0,0.36166004537571006,0.0013872400452971667,0.0038505266697132553,0.0038505266697132553,9,9,4.229243374999731,4.229243374999731
realistic,1,0.3,0.3602728053304129,1,26,CABIQAE_latentt,28032.0,28032.0,28032.0,0.3618592626499253,0.001586457319512402,0.004403488956257557,0.004403488956257557,9,9,4.410496662499719,4.410496662499719
realistic,1,0.3,0.3602728053304129,1,27,CABIQAE_latentt,29184.0,29184.0,29184.0,0.36197614560280306,0.0017033402723901636,0.004727917975457511,0.004727917975457511,9,9,4.591749949999708,4.591749949999708
