run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,step_index,budget,query_budget,query_budget_actual,estimate,a_true,abs_error,normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,grover_power,k_max_budget,amplification_factor,t_eff,calibration_status,runtime_wall_seconds,time_to_budget_seconds,circuit_prepare_wall_seconds,construct_circuit_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,n_shots,max_grover_power,transpile_backend_name,transpilation_strategy,aer_method,construct_circuit_mode,normalized_sq_error
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,5,CABIQAE,cabiqae_latentt,0,128,128.0,128.0,0.15688204356633384,0.1328730942948926,0.024008949271441232,0.18069082682876975,0.5864946085782612,0.6924688043328828,0.10597419575462164,0.18069082682876966,0.5864946085782612,0.6924688043328828,0.10597419575462164,0.18069082682876966,0,0,1,11.706917752656707,ok,0.30890857857385917,0.30890857857385917,9.199953638017178e-06,9.199953638017178e-06,4,0,6,128,4,local_aer,aer_preset,density_matrix,full,0.03264917490006446
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,5,CABIQAE,cabiqae_latentt,1,512,512.0,512.0,0.1529569769274823,0.1328730942948926,0.0200838826325897,0.15115086119704887,0.5864946085782612,0.6751437737522914,0.08864916517403021,0.15115086119704876,0.5864946085782612,0.6751437737522914,0.08864916517403021,0.15115086119704876,1,1,3,11.706917752656707,ok,1.2356343142954367,1.2356343142954367,9.199953638017178e-06,9.199953638017178e-06,4,0,6,128,4,local_aer,aer_preset,density_matrix,full,0.022846582840609534
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,5,CABIQAE,cabiqae_latentt,2,896,896.0,896.0,0.14639513338955104,0.1328730942948926,0.013522039094658433,0.10176657032347139,0.5864946085782612,0.6461801534064776,0.05968554482821642,0.10176657032347135,0.5864946085782612,0.6461801534064776,0.05968554482821642,0.10176657032347135,1,1,3,11.706917752656707,ok,2.162360050017014,2.162360050017014,9.199953638017178e-06,9.199953638017178e-06,4,0,6,128,4,local_aer,aer_preset,density_matrix,full,0.010356434835402047
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,5,CABIQAE,cabiqae_latentt,3,1792,1792.0,1792.0,0.1291479122540251,0.1328730942948926,0.0037251820408674974,0.028035638521369834,0.5864946085782612,0.5700518577374287,0.016442750840832465,0.028035638521369907,0.5864946085782612,0.5700518577374287,0.016442750840832465,0.028035638521369907,3,3,7,11.706917752656707,ok,4.324720100034028,4.324720100034028,9.199953638017178e-06,9.199953638017178e-06,4,0,6,128,4,local_aer,aer_preset,density_matrix,full,0.0007859970273009162
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,5,BIQAE,biqae,0,128,128.0,128.0,0.21441327150575895,0.1328730942948926,0.08154017721086634,0.613669589344399,0.5864946085782612,0.9464085141771866,0.35991390559892544,0.6136695893443987,0.5864946085782612,0.9464085141771866,0.35991390559892544,0.6136695893443987,0,0,1,11.706917752656707,ok,0.3056729666811103,0.3056729666811103,0.4391797999269329,0.4391797999269329,1,1,7,128,4,local_aer,aer_preset,density_matrix,full,0.37659036488612324
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,5,BIQAE,biqae,1,768,768.0,768.0,0.17375239793810401,0.1328730942948926,0.040879303643211407,0.3076567446565646,0.5864946085782612,0.7669336306120751,0.1804390220338139,0.3076567446565646,0.5864946085782612,0.7669336306120751,0.1804390220338139,0.3076567446565646,2,2,5,11.706917752656707,ok,1.8340378000866622,1.8340378000866622,0.4391797999269329,0.4391797999269329,1,1,7,128,4,local_aer,aer_preset,density_matrix,full,0.0946526725326746
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,6,CABIQAE,cabiqae_latentt,0,128,128.0,128.0,0.13230890200309425,0.1328730942948926,0.0005641922917983544,0.004246098841848382,0.5864946085782612,0.5840042945000267,0.0024903140782345234,0.0042460988418484644,0.5864946085782612,0.5840042945000267,0.0024903140782345234,0.0042460988418484644,0,0,1,11.706917752656707,ok,0.3768429999948818,0.3768429999948818,6.800051778554916e-06,6.800051778554916e-06,3,0,7,128,4,local_aer,aer_preset,density_matrix,full,1.802935537474617e-05
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,6,CABIQAE,cabiqae_latentt,1,512,512.0,512.0,0.12550333690326515,0.1328730942948926,0.007369757391627457,0.05546463285690741,0.5864946085782612,0.5539649004409123,0.0325297081373489,0.055464632856907455,0.5864946085782612,0.5539649004409123,0.0325297081373489,0.055464632856907455,1,1,3,11.706917752656707,ok,1.5073719999795272,1.5073719999795272,6.800051778554916e-06,6.800051778554916e-06,3,0,7,128,4,local_aer,aer_preset,density_matrix,full,0.0030763254979515333
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,6,CABIQAE,cabiqae_latentt,2,1408,1408.0,1408.0,0.10506321125148944,0.1328730942948926,0.027809883043403164,0.20929657122068032,0.5864946085782612,0.46374329796341607,0.12275131061484512,0.2092965712206804,0.5864946085782612,0.46374329796341607,0.12275131061484512,0.2092965712206804,3,3,7,11.706917752656707,ok,4.1452729999437,4.1452729999437,6.800051778554916e-06,6.800051778554916e-06,3,0,7,128,4,local_aer,aer_preset,density_matrix,full,0.04380505472473331
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,7,CABIQAE,cabiqae_latentt,0,128,128.0,128.0,0.10772505929776366,0.1328730942948926,0.02514803499712895,0.1892635610736702,0.5864946085782612,0.47549255040823113,0.11100205817003006,0.18926356107367023,0.5864946085782612,0.47549255040823113,0.11100205817003006,0.18926356107367023,0,0,1,11.706917752656707,ok,0.3426898636389524,0.3426898636389524,5.89998671784997e-06,5.89998671784997e-06,3,0,7,128,4,local_aer,aer_preset,density_matrix,full,0.03582069555028689
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,7,CABIQAE,cabiqae_latentt,1,512,512.0,512.0,0.14486577002518272,0.1328730942948926,0.011992675730290114,0.09025661511031048,0.5864946085782612,0.6394296267289815,0.052935018150720325,0.0902566151103105,0.5864946085782612,0.6394296267289815,0.052935018150720325,0.0902566151103105,1,1,3,11.706917752656707,ok,1.3707594545558095,1.3707594545558095,5.89998671784997e-06,5.89998671784997e-06,3,0,7,128,4,local_aer,aer_preset,density_matrix,full,0.008146256571170726
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,7,CABIQAE,cabiqae_latentt,2,1408,1408.0,1408.0,0.13213609797183085,0.1328730942948926,0.0007369963230617615,0.005546618199664297,0.5864946085782612,0.583241546908316,0.003253061669945212,0.0055466181996643655,0.5864946085782612,0.583241546908316,0.003253061669945212,0.0055466181996643655,3,3,7,11.706917752656707,ok,3.769588500028476,3.769588500028476,5.89998671784997e-06,5.89998671784997e-06,3,0,7,128,4,local_aer,aer_preset,density_matrix,full,3.0764973452847206e-05
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,8,CABIQAE,cabiqae_latentt,0,128,128.0,128.0,0.09952801054305421,0.1328730942948926,0.033345083751838395,0.2509543706255068,0.5864946085782612,0.43931122320725063,0.14718338537101056,0.2509543706255069,0.5864946085782612,0.43931122320725063,0.14718338537101056,0.2509543706255069,0,0,1,11.706917752656707,ok,0.3387708636371165,0.3387708636371165,7.499998901039362e-06,7.499998901039362e-06,3,0,7,128,4,local_aer,aer_preset,density_matrix,full,0.06297809613604423
