algorithm,algorithm_key,budget,target_name,abs_error_mean,abs_error_median,amplification_factor_median,cva_abs_error_median,cva_relative_error_median,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,query_budget_actual_median,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,total_repetitions
BIQAE,biqae,64,cva,0.04478734694401777,0.03628306884702545,1.0,0.16015149172508014,0.2730655821599248,0.1708433024893415,0.0,0.04861722021024405,0.04111903230978777,300,300,0.36487902832964725,0.30807410784307193,0.3370685930186794,0.27306558215992494,0.37302279712687925,0.27306558215992494,0.014504298372592086,0.2512218170946808,0.16015149172508014,0.21080503069093287,0.16015149172508014,0.008506692796735705,0.2730655821599248,0.35862027923263945,0.2730655821599248,0.014504298372592083,58.1,60.0,9.740874575783544e-06,9.385561294427931e-06,9.561367112335078e-06,9.531987460004814e-06,9.715153672177967e-06,9.311985109867779e-06,9.367651251071645e-08,1.0,300
BIQAE,biqae,128,cva,0.028716361754093322,0.023592057402863423,1.0,0.10413405772985079,0.17755330774870245,0.15215340436028313,0.0,0.031374155259562685,0.026234792874078417,300,300,0.23504687553442763,0.1978071254385769,0.21611871016085094,0.17755330774870243,0.20201232906505875,0.1424005156896439,0.009916369453766385,0.17175655720547414,0.10413405772985079,0.11847914186299446,0.08298920626717732,0.00581589722130414,0.17755330774870245,0.20201232906505864,0.1424005156896438,0.009916369453766383,112.63333333333334,120.0,1.892227484181224e-05,1.8190607086145108e-05,1.855095923703193e-05,1.843945024210639e-05,1.8831606593573097e-05,1.7728047249983806e-05,1.8891304721990005e-07,1.0,300
BIQAE,biqae,256,cva,0.010877853033405716,0.008900903318647888,5.0,0.03928810294940199,0.06698800359758027,0.13647966181689533,2.0,0.011915604379772193,0.009935452518789788,300,300,0.089737696564155,0.07400927699792136,0.08186648388923565,0.06698800359758025,0.0779523790957775,0.05560352133981365,0.003880368994671884,0.0672099625088667,0.03928810294940199,0.04476002982470484,0.03242363558889921,0.0022758154946693073,0.06698800359758027,0.07795237909577764,0.05543483658971766,0.003880368994671883,225.63333333333333,230.0,3.7861064605538844e-05,3.639883975301748e-05,3.7120513595481686e-05,3.655863854178573e-05,3.741814679937379e-05,3.542127058968469e-05,3.687849217092569e-07,1.0,300
BIQAE,biqae,512,cva,0.004997169861433412,0.0037741494095108047,15.0,0.016658890141704186,0.028404165866225933,0.1342353361374883,7.0,0.005488779467344207,0.004541384785169323,300,300,0.04116290671991277,0.03431997910016383,0.03760859102402565,0.028404165866225906,0.031551724816457294,0.025475959955285073,0.0018101380434128688,0.03135251059904407,0.016658890141704186,0.018507503294016403,0.014825609253824312,0.0010616362032440498,0.028404165866225933,0.031881734827406735,0.02545590887186261,0.001810138043412868,440.5,440.0,7.40112721993874e-05,7.102637796052268e-05,7.24794537706234e-05,7.126866240266216e-05,7.286998417368364e-05,6.976407745681512e-05,7.595324318173088e-07,1.0,300
BIQAE,biqae,1024,cva,0.002932360151482001,0.0024437025059086126,19.0,0.010786369898963699,0.0183912515838999,0.1331015129673673,9.0,0.0031988752096409755,0.0026602176111631,300,300,0.024226645808721543,0.020045758295764153,0.022068878331184583,0.01839125158389981,0.021719644218003136,0.015123648697589446,0.0010613780468443474,0.0183836070317263,0.010786369898963699,0.012628997094452605,0.008729480059057756,0.0006224925021375347,0.0183912515838999,0.021719644218003167,0.014887480424027684,0.001061378046844347,866.8666666666667,880.0,0.00014594162144210894,0.0001396324180695077,0.00014269894616270496,0.00014103943686107745,0.00014405413219050733,0.00013692851389283259,1.5557198795892232e-06,1.0,300
BIQAE,biqae,2048,cva,0.0014695592543841397,0.001331036328085733,45.0,0.005875121930340288,0.01001735027809095,0.13297421306900675,22.0,0.0015988999735565015,0.001356499277560913,300,300,0.012099973801481527,0.010107626841433919,0.011059870790113951,0.01001735027809084,0.010583984485581828,0.008584409228096284,0.0004914491849564389,0.008512149576828665,0.005875121930340288,0.006211797182029799,0.00499470332531754,0.0002882322973671321,0.01001735027809095,0.010583794423548228,0.008530084551358891,0.0004914491849564389,1678.0333333333333,1690.0,0.00028240995773057064,0.0002698642948149219,0.00027600192283666977,0.00027170876754971477,0.0002759021199125297,0.000265184586759963,3.138238892653642e-06,1.0,300
BIQAE,biqae,4096,cva,0.0007002046976034791,0.0005641398944351977,95.0,0.002490082799124438,0.004245704500439861,0.13291701170060277,47.0,0.000792868217956963,0.000628635808840032,300,300,0.005919139047279408,0.004734500798967746,0.0052697252315768005,0.004245704500439877,0.004834145469658004,0.003945511731245964,0.000308085466610786,0.005336196812434464,0.002490082799124438,0.002796071748768164,0.0023068397628286386,0.00018069046514854406,0.004245704500439861,0.004819408867456547,0.00393326678385112,0.0003080854666107863,3387.2,3415.0,0.00056879737719549,0.0005445431252803653,0.0005564762905422493,0.0005447424379487655,0.0005556944800493275,0.0005286843502566531,6.2663542291854025e-06,1.0,300
BIQAE,biqae,8192,cva,0.00035406172999158484,0.0002573437758730257,195.0,0.0011359014246009047,0.0019367636257637162,0.13285550210867528,97.0,0.00043218355538487193,0.00029886465968246293,300,300,0.0032778321157525803,0.0022583068173112637,0.0026646608319799946,0.0019367636257637563,0.002268420095098184,0.0017276264045962282,0.00027344956511811034,0.004736285400921814,0.0011359014246009047,0.001332740121939291,0.0010161586357880239,0.00016037669565984185,0.0019367636257637162,0.0022567686598508503,0.0017326261952047835,0.00027344956511811034,6748.166666666667,6750.0,0.0011325030075028646,0.0010849910087574034,0.0011079671383807084,0.0010758959464263677,0.0011103410670175078,0.0010529582545867507,1.2042419469462231e-05,1.0,300
BIQAE,biqae,16384,cva,0.00018651837437016325,0.00013105820389881784,409.0,0.0005784837811184107,0.0009863411745944777,0.13283251030749937,204.0,0.000261494015174457,0.00014028630229261368,300,300,0.002036636361855495,0.0010604017622686756,0.0014037332039262419,0.0009863411745944075,0.0010705785835236415,0.0008696073588885745,0.0002685270812503179,0.004651025479337267,0.0005784837811184107,0.0006279125443614599,0.0005100200275681699,0.00015748968541056817,0.0009863411745944777,0.0010689433040065705,0.0008574939724754393,0.0002685270812503179,13663.033333333333,13780.0,0.002294233953816507,0.002197005942174984,0.0022461523776640658,0.0022400483448358132,0.002298508548114573,0.002153740360616542,2.4985563238943247e-05,1.0,300
BIQAE,biqae,32768,cva,0.00011534953386989566,6.17682497668498e-05,787.0,0.00027264169365376345,0.00046486649607006993,0.13283619516490258,393.0,0.00019207696147494535,7.323461971258094e-05,300,300,0.0014564745695689087,0.0005522946372119895,0.0008681180677097356,0.0004648664960700329,0.0005329123333977216,0.00039614628222629604,0.00027283445199663924,0.004725631329133911,0.00027264169365376345,0.0003144888759828435,0.00023233765873398315,0.0001600159351304333,0.00046486649607006993,0.0005383163227230504,0.00039614628222619077,0.0002728344519966392,26898.133333333335,26810.0,0.004532063802467051,0.004334362152060716,0.004431891066799869,0.0043216177711671066,0.004467486602614618,0.004225373274217208,5.1396842268121744e-05,1.0,300
