profile,scenario_id,objective_ry_offset,a_true,rep,algorithm,final_queries,final_estimate,final_abs_error,final_nrmse,coverage,runtime_seconds,k_max
realistic,2,-0.5012253030340587,0.3275653106895712,19,BAE,16804,0.3299444644372394,0.002379153747668228,0.007263143165739295,1.0,16.951356299978215,45
realistic,2,-0.5012253030340587,0.3275653106895712,19,BIQAE,47808,0.33345529767586424,0.005889986986293061,0.017981107260392766,0.0,5.370426699984819,537
realistic,2,-0.5012253030340587,0.3275653106895712,19,CABIQAE_latentt,16512,0.3290226032797422,0.001457292590171022,0.004448861166352492,1.0,2.444707099988591,19
realistic,2,-0.5012253030340587,0.3275653106895712,20,BAE,16164,0.3280339945948566,0.00046868390528542747,0.0014308105589654221,1.0,15.945755499997176,45
realistic,2,-0.5012253030340587,0.3275653106895712,20,BIQAE,56640,0.34664087260988885,0.019075561920317674,0.05823437738312682,0.0,5.715888199978508,655
realistic,2,-0.5012253030340587,0.3275653106895712,20,CABIQAE_latentt,20416,0.3283563516810959,0.0007910409915247163,0.0024149107543148065,1.0,3.0757526999805123,27
realistic,3,-0.44778407112722207,0.33040551015496833,1,BAE,15780,0.3292867423317681,0.0011187678232002507,0.003386044689979659,1.0,13.407183400006033,63
realistic,3,-0.44778407112722207,0.33040551015496833,1,BIQAE,65472,0.3519687616782344,0.021563251523266047,0.06526299005471292,0.0,7.331169400014915,753
realistic,3,-0.44778407112722207,0.33040551015496833,1,CABIQAE_latentt,15936,0.3280787823969464,0.0023267277580219514,0.007042036789672965,1.0,2.3722073000390083,17
realistic,3,-0.44778407112722207,0.33040551015496833,2,BAE,15332,0.3319914940398344,0.0015859838848660823,0.004800113303565116,1.0,15.285260000033304,47
realistic,3,-0.44778407112722207,0.33040551015496833,2,BIQAE,66560,0.34009331477786503,0.0096878046228967,0.029320953571121987,0.0,7.340341500006616,791
realistic,3,-0.44778407112722207,0.33040551015496833,2,CABIQAE_latentt,14272,0.3319550449892007,0.001549534834232369,0.00468979719347174,1.0,2.218756000045687,19
realistic,3,-0.44778407112722207,0.33040551015496833,3,BAE,16676,0.3310995982029834,0.0006940880480150735,0.0021007157165433745,1.0,12.504056399979163,45
realistic,3,-0.44778407112722207,0.33040551015496833,3,BIQAE,34624,0.32096330453786476,0.009442205617103572,0.028577627572478875,0.0,4.547979100025259,403
realistic,3,-0.44778407112722207,0.33040551015496833,3,CABIQAE_latentt,16768,0.328770821990777,0.0016346881641913225,0.004947520891599578,1.0,2.8600608999840915,19
