profile,scenario_id,objective_ry_offset,a_true,t_eff,k,K,p_ideal,p_noisy,c_est
realistic,5,-0.4028068565926864,0.3331715243456811,45.87857333273609,0.0,1.0,0.3331715243456811,0.3305,1.0
realistic,5,-0.4028068565926864,0.3331715243456811,45.87857333273609,1.0,3.0,0.9261953980470347,0.8976666666666666,0.9330618502426448
realistic,5,-0.4028068565926864,0.3331715243456811,45.87857333273609,2.0,5.0,0.004225833654212162,0.077,0.8532110559890891
realistic,5,-0.4028068565926864,0.3331715243456811,45.87857333273609,4.0,9.0,0.46005708537825574,0.4716666666666667,0.7093456649733098
realistic,5,-0.4028068565926864,0.3331715243456811,45.87857333273609,8.0,17.0,0.7397664160524464,0.6631666666666667,0.6805234417441335
realistic,6,-0.29318665646439546,0.34131359995781374,35.36252022556314,0.0,1.0,0.34131359995781374,0.33666666666666667,1.0
realistic,6,-0.29318665646439546,0.34131359995781374,35.36252022556314,1.0,3.0,0.9121241358370833,0.8803333333333333,0.9228610999955673
realistic,6,-0.29318665646439546,0.34131359995781374,35.36252022556314,2.0,5.0,0.0004837574388149218,0.06616666666666667,0.8685069600718612
realistic,6,-0.29318665646439546,0.34131359995781374,35.36252022556314,4.0,9.0,0.38359176831115716,0.41683333333333333,0.7144397390123552
realistic,6,-0.29318665646439546,0.34131359995781374,35.36252022556314,8.0,17.0,0.8561968490177071,0.722,0.6232508811131118
realistic,7,-0.2776434174878206,0.3426248354033242,32.951954724773245,0.0,1.0,0.3426248354033242,0.3505,0.9499592923898864
realistic,7,-0.2776434174878206,0.3426248354033242,32.951954724773245,1.0,3.0,0.9097622675217688,0.8791666666666667,0.9253332888844462
realistic,7,-0.2776434174878206,0.3426248354033242,32.951954724773245,2.0,5.0,0.00022756540029761482,0.063,0.8743979654460523
realistic,7,-0.2776434174878206,0.3426248354033242,32.951954724773245,4.0,9.0,0.3715320936486607,0.4191666666666667,0.629210326758708
realistic,7,-0.2776434174878206,0.3426248354033242,32.951954724773245,8.0,17.0,0.8722862032130692,0.73,0.6178042538642372
realistic,8,-0.26749771541378475,0.3435012602013814,33.37099251268613,0.0,1.0,0.3435012602013814,0.3475,0.9744487412245993
realistic,8,-0.26749771541378475,0.3435012602013814,33.37099251268613,1.0,3.0,0.9081691069119505,0.8751666666666666,0.9191451785879446
realistic,8,-0.26749771541378475,0.3435012602013814,33.37099251268613,2.0,5.0,0.00010962693394436568,0.06433333333333334,0.8715244184330342
realistic,8,-0.26749771541378475,0.3435012602013814,33.37099251268613,4.0,9.0,0.36352144161164657,0.3983333333333333,0.7449277591090274
realistic,8,-0.26749771541378475,0.3435012602013814,33.37099251268613,8.0,17.0,0.8825763729352866,0.7326666666666667,0.6081574376419284
realistic,9,-0.17422471903694559,0.3523012076955077,32.417763361031604,0.0,1.0,0.3523012076955077,0.35183333333333333,1.0
realistic,9,-0.17422471903694559,0.3523012076955077,32.417763361031604,1.0,3.0,0.8915437481940616,0.8635,0.9283764628514458
realistic,9,-0.17422471903694559,0.3523012076955077,32.417763361031604,2.0,5.0,0.0012753076060495706,0.06933333333333333,0.8635358810878293
realistic,9,-0.17422471903694559,0.3523012076955077,32.417763361031604,4.0,9.0,0.28578802382385504,0.3375,0.7585943741370342
realistic,9,-0.17422471903694559,0.3523012076955077,32.417763361031604,8.0,17.0,0.9633186104681768,0.7783333333333333,0.6007385135081914
realistic,10,-0.0930565341314995,0.3610069733428044,38.64690240569617,0.0,1.0,0.3610069733428044,0.35883333333333334,1.0
realistic,10,-0.0930565341314995,0.3610069733428044,38.64690240569617,1.0,3.0,0.8740156427810479,0.8375,0.9023686749850073
realistic,10,-0.0930565341314995,0.3610069733428044,38.64690240569617,2.0,5.0,0.006571840129284445,0.07066666666666667,0.8701030225875721
realistic,10,-0.0930565341314995,0.3610069733428044,38.64690240569617,4.0,9.0,0.2150760864325342,0.2821666666666667,0.7645315923324687
