profile,scenario_id,objective_ry_offset,a_true,rep,budget,algorithm,estimate,abs_error,nrmse,k_max_budget,time_to_budget_seconds
realistic,1,-0.6465633030494207,0.3223500793991444,2,1604,BAE,0.32346283647956664,0.0011127570804222442,0.003452014289856563,13,1.0341627908775224
realistic,1,-0.6465633030494207,0.3223500793991444,2,1604,BIQAE,0.3363303178218035,0.013980238422659108,0.043369737797856474,9,0.1847076356163812
realistic,1,-0.6465633030494207,0.3223500793991444,2,1604,CABIQAE_latentt,0.3074417538411851,0.01490832555795929,0.04624886578513702,9,0.18277732863712537
realistic,1,-0.6465633030494207,0.3223500793991444,2,2805,BAE,0.32346283647956664,0.0011127570804222442,0.003452014289856563,13,1.80849540424654
realistic,1,-0.6465633030494207,0.3223500793991444,2,2805,BIQAE,0.3363303178218035,0.013980238422659108,0.043369737797856474,9,0.3230080535560781
realistic,1,-0.6465633030494207,0.3223500793991444,2,2805,CABIQAE_latentt,0.3134808038036052,0.008869275595539183,0.027514420384419872,23,0.3196324232089381
realistic,1,-0.6465633030494207,0.3223500793991444,2,4905,BAE,0.32096698485590636,0.0013830945432380393,0.00429065984973885,43,3.162449182826837
realistic,1,-0.6465633030494207,0.3223500793991444,2,4905,BIQAE,0.33323310014951246,0.010883020750368066,0.03376149548544815,37,0.5648322647745323
realistic,1,-0.6465633030494207,0.3223500793991444,2,4905,CABIQAE_latentt,0.3134808038036052,0.008869275595539183,0.027514420384419872,23,0.5589294245418329
realistic,1,-0.6465633030494207,0.3223500793991444,2,8578,BAE,0.32096698485590636,0.0013830945432380393,0.00429065984973885,43,5.530578815553233
realistic,1,-0.6465633030494207,0.3223500793991444,2,8578,BIQAE,0.33323310014951246,0.010883020750368066,0.03376149548544815,37,0.9877943256342382
realistic,1,-0.6465633030494207,0.3223500793991444,2,8578,CABIQAE_latentt,0.31699440518521793,0.005355674213926465,0.016614465316432864,49,0.9774712749683675
realistic,1,-0.6465633030494207,0.3223500793991444,2,15000,BAE,0.32090364355235257,0.001446435846791827,0.004487158338809661,77,9.671098418430695
realistic,1,-0.6465633030494207,0.3223500793991444,2,15000,BIQAE,0.33326516503416515,0.01091508563502075,0.03386096772603966,157,1.72731579441753
realistic,1,-0.6465633030494207,0.3223500793991444,2,15000,CABIQAE_latentt,0.31709033230960526,0.005259747089539135,0.016316878529526728,49,1.7092642952349628
realistic,1,-0.6465633030494207,0.3223500793991444,3,300,BAE,0.31861324418287096,0.0037368352162734375,0.011592474936686354,1,0.1828990849992053
realistic,1,-0.6465633030494207,0.3223500793991444,3,300,BIQAE,0.3242679904229939,0.0019179110238495278,0.005949776799883172,1,0.03965882688842943
realistic,1,-0.6465633030494207,0.3223500793991444,3,300,CABIQAE_latentt,0.293518320370802,0.028831759028342396,0.08944238227607809,1,0.04562862565443734
realistic,1,-0.6465633030494207,0.3223500793991444,3,525,BAE,0.31861324418287096,0.0037368352162734375,0.011592474936686354,1,0.3200733987486093
realistic,1,-0.6465633030494207,0.3223500793991444,3,525,BIQAE,0.32295972828838987,0.0006096488892454732,0.0018912633444416996,1,0.06940294705475152
realistic,1,-0.6465633030494207,0.3223500793991444,3,525,CABIQAE_latentt,0.293518320370802,0.028831759028342396,0.08944238227607809,1,0.07985009489526534
realistic,1,-0.6465633030494207,0.3223500793991444,3,917,BAE,0.3259816088309563,0.0036315294318118863,0.011265793508042564,7,0.5590615364809042
realistic,1,-0.6465633030494207,0.3223500793991444,3,917,BIQAE,0.32295972828838987,0.0006096488892454732,0.0018912633444416996,1,0.12122381418896595
realistic,1,-0.6465633030494207,0.3223500793991444,3,917,CABIQAE_latentt,0.30802028835518325,0.014329791043961149,0.044454125994545,7,0.1394714990837301
realistic,1,-0.6465633030494207,0.3223500793991444,3,1604,BAE,0.3238204958612353,0.0014704164620908955,0.004561551418978178,13,0.9779004411290843
realistic,1,-0.6465633030494207,0.3223500793991444,3,1604,BIQAE,0.32550414179399145,0.003154062394847057,0.00978458699537528,9,0.21204252776346935
realistic,1,-0.6465633030494207,0.3223500793991444,3,1604,CABIQAE_latentt,0.30802028835518325,0.014329791043961149,0.044454125994545,7,0.24396105183239164
realistic,1,-0.6465633030494207,0.3223500793991444,3,2805,BAE,0.3238204958612353,0.0014704164620908955,0.004561551418978178,13,1.7101064447425696
realistic,1,-0.6465633030494207,0.3223500793991444,3,2805,BIQAE,0.32550414179399145,0.003154062394847057,0.00978458699537528,9,0.3708100314068152
realistic,1,-0.6465633030494207,0.3223500793991444,3,2805,CABIQAE_latentt,0.3115525801452781,0.010797499253866305,0.03349618921761297,15,0.4266276498689891
realistic,1,-0.6465633030494207,0.3223500793991444,3,4905,BAE,0.3194121235125288,0.0029379558866156064,0.00911417764218303,35,2.9904000397370063
realistic,1,-0.6465633030494207,0.3223500793991444,3,4905,BIQAE,0.3224287849449392,7.870554579481048e-05,0.00024416170748745096,35,0.6484218196258212
realistic,1,-0.6465633030494207,0.3223500793991444,3,4905,CABIQAE_latentt,0.31183499920683444,0.010515080192309956,0.032620063912842535,33,0.7460280294500504
realistic,1,-0.6465633030494207,0.3223500793991444,3,8578,BAE,0.3197625941812008,0.002587485217943608,0.008026941463041178,41,5.229694503743943
realistic,1,-0.6465633030494207,0.3223500793991444,3,8578,BIQAE,0.3224287849449392,7.870554579481048e-05,0.00024416170748745096,35,1.1339780568298254
realistic,1,-0.6465633030494207,0.3223500793991444,3,8578,CABIQAE_latentt,0.31415069813649543,0.008199381262648964,0.0254362625811431,33,1.3046745028792115
realistic,1,-0.6465633030494207,0.3223500793991444,4,300,BAE,0.3499478064979437,0.02759772709879932,0.08561414704857855,1,0.16570410393338228
realistic,1,-0.6465633030494207,0.3223500793991444,4,300,BIQAE,0.3242679904229939,0.0019179110238495278,0.005949776799883172,1,0.03371229436926921
realistic,1,-0.6465633030494207,0.3223500793991444,4,300,CABIQAE_latentt,0.30791757697679867,0.014432502422345728,0.044772759011716984,1,0.04070955042565897
realistic,1,-0.6465633030494207,0.3223500793991444,4,525,BAE,0.3499478064979437,0.02759772709879932,0.08561414704857855,1,0.289982181883419
realistic,1,-0.6465633030494207,0.3223500793991444,4,525,BIQAE,0.3342272404793618,0.011877161080217413,0.03684553483702024,3,0.05899651514622112
realistic,1,-0.6465633030494207,0.3223500793991444,4,525,CABIQAE_latentt,0.30791757697679867,0.014432502422345728,0.044772759011716984,1,0.07124171324490321
realistic,1,-0.6465633030494207,0.3223500793991444,4,917,BAE,0.31583229891341214,0.006517780485732261,0.020219571522616976,11,0.5065022110230386
realistic,1,-0.6465633030494207,0.3223500793991444,4,917,BIQAE,0.3342272404793618,0.011877161080217413,0.03684553483702024,3,0.10304724645539956
realistic,1,-0.6465633030494207,0.3223500793991444,4,917,CABIQAE_latentt,0.3197390723548772,0.0026110070442671995,0.008099911280102914,7,0.1244355258010976
realistic,1,-0.6465633030494207,0.3223500793991444,4,1604,BAE,0.31583229891341214,0.006517780485732261,0.020219571522616976,11,0.885964609030484
realistic,1,-0.6465633030494207,0.3223500793991444,4,1604,BIQAE,0.3304836060847355,0.008133526685591086,0.025231967371473447,9,0.18024840056102606
realistic,1,-0.6465633030494207,0.3223500793991444,4,1604,CABIQAE_latentt,0.3197390723548772,0.0026110070442671995,0.008099911280102914,7,0.21766039627585665
realistic,1,-0.6465633030494207,0.3223500793991444,4,2805,BAE,0.30893861008150636,0.013411469317638036,0.041605292428147714,15,1.5493333717771245
realistic,1,-0.6465633030494207,0.3223500793991444,4,2805,BIQAE,0.3304836060847355,0.008133526685591086,0.025231967371473447,9,0.3152099523526671
realistic,1,-0.6465633030494207,0.3223500793991444,4,2805,CABIQAE_latentt,0.3203277128311973,0.002022366567947076,0.006273820598142046,17,0.3806342964799114
realistic,1,-0.6465633030494207,0.3223500793991444,4,4905,BAE,0.30893861008150636,0.013411469317638036,0.041605292428147714,15,2.7092620993108008
realistic,1,-0.6465633030494207,0.3223500793991444,4,4905,BIQAE,0.3267098211501376,0.004359741750993185,0.013524866378564808,27,0.5511960129375515
realistic,1,-0.6465633030494207,0.3223500793991444,4,4905,CABIQAE_latentt,0.32211984172230734,0.00023023767683705287,0.0007142473092180165,17,0.6656011494595243
realistic,1,-0.6465633030494207,0.3223500793991444,4,8578,BAE,0.31673200062240503,0.005618078776739366,0.017428501296513958,57,4.738032678468511
