profile,scenario_id,objective_ry_offset,a_true,rep,budget,algorithm,estimate,abs_error,nrmse,k_max_budget,time_to_budget_seconds
realistic,3,-0.29318665646439546,0.06675234311190258,9,4905,CABIQAE_latentt,0.06883941434879855,0.002087071236895971,0.03126588730222155,27,0.19843326514691023
realistic,3,-0.29318665646439546,0.06675234311190258,10,300,BIQAE,0.08538646335149874,0.018634120239596166,0.2791530509776746,3,0.00878145127769722
realistic,3,-0.29318665646439546,0.06675234311190258,10,300,CABIQAE_latentt,0.06844971282287056,0.001697369710967983,0.025427867125541036,3,0.007146566462648179
realistic,3,-0.29318665646439546,0.06675234311190258,10,525,BIQAE,0.08538646335149874,0.018634120239596166,0.2791530509776746,3,0.015367539735970133
realistic,3,-0.29318665646439546,0.06675234311190258,10,525,CABIQAE_latentt,0.06844971282287056,0.001697369710967983,0.025427867125541036,3,0.012506491309634315
realistic,3,-0.29318665646439546,0.06675234311190258,10,917,BIQAE,0.07179327305387996,0.0050409299419773845,0.07551689883794564,9,0.026841969405494503
realistic,3,-0.29318665646439546,0.06675234311190258,10,917,CABIQAE_latentt,0.06788243580804582,0.0011300926961432395,0.016929633380041356,9,0.021844671487494603
realistic,3,-0.29318665646439546,0.06675234311190258,10,1604,BIQAE,0.07179327305387996,0.0050409299419773845,0.07551689883794564,9,0.04695149283142114
realistic,3,-0.29318665646439546,0.06675234311190258,10,1604,CABIQAE_latentt,0.06788243580804582,0.0011300926961432395,0.016929633380041356,9,0.03821030868695894
realistic,3,-0.29318665646439546,0.06675234311190258,10,2805,BIQAE,0.06742828227813133,0.0006759391662287534,0.010126074003059633,27,0.082106569446469
realistic,3,-0.29318665646439546,0.06675234311190258,10,2805,CABIQAE_latentt,0.06795170512488548,0.001199362012982902,0.01796733952802691,27,0.06682039642576047
realistic,3,-0.29318665646439546,0.06675234311190258,10,4905,BAE,0.3368594979468383,0.2701071548349357,4.046407095884744,57,2.2007685801680696
realistic,3,-0.29318665646439546,0.06675234311190258,10,4905,BIQAE,0.06742828227813133,0.0006759391662287534,0.010126074003059633,27,0.14357672839034955
realistic,3,-0.29318665646439546,0.06675234311190258,10,4905,CABIQAE_latentt,0.06795170512488548,0.001199362012982902,0.01796733952802691,27,0.11684636166429774
realistic,4,-0.26749771541378475,0.06037567338876554,1,300,BIQAE,0.08033053451994607,0.01995486113118053,0.3305116118985374,3,0.009206940296620543
realistic,4,-0.26749771541378475,0.06037567338876554,1,300,CABIQAE_latentt,0.07157192894034443,0.011196255551578896,0.18544315819858417,3,0.012022720449026102
realistic,4,-0.26749771541378475,0.06037567338876554,1,525,BIQAE,0.08033053451994607,0.01995486113118053,0.3305116118985374,3,0.01611214551908595
realistic,4,-0.26749771541378475,0.06037567338876554,1,525,CABIQAE_latentt,0.07157192894034443,0.011196255551578896,0.18544315819858417,3,0.021039760785795676
