abs_error_mean,abs_error_median,algorithm,algorithm_key,amplification_factor_median,budget,estimate_mean,estimate_median,grover_power_max_median,n_points,n_runs,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_q25,normalized_abs_error_q75,normalized_abs_error_se,normalized_abs_error_std,normalized_rmse,normalized_sq_error_mean,query_budget_actual_mean,query_budget_actual_median,run_kind,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_se,runtime_wall_seconds_std,success_rate,total_repetitions
0.012715371811507085,0.00868652913034934,BAE,bae,11.0,679,0.5860679073664564,0.6050290419433202,5.0,100,100,0.023960590258208323,0.015059453356804895,0.007632690492649401,0.024548133815688183,0.0037023398890266056,0.037023398890266054,0.043944676927423446,0.0019311346302556228,413.4,390.0,ideal_simulation,0.8707724015976873,0.17155918191773928,0.6945588428520038,6.945588428520037,1.0,100
0.005652749822766506,0.00407714225462294,BIQAE,biqae,15.0,679,0.5853855941585586,0.606915387328772,7.0,100,100,0.009775059262433671,0.006797517578226147,0.0026981679681222833,0.012903635418731102,0.0008723598013612105,0.008723598013612105,0.013072564180915555,0.00017089193426415638,575.8,590.0,ideal_simulation,0.08357783128174795,0.07750430233883135,0.0032207743338493336,0.032207743338493335,1.0,100
0.006301667641511842,0.004332547547916676,CABIQAE_latentt,cabiqae_latentt,18.0,679,0.586587605249654,0.6045993582408007,8.5,100,100,0.01167427798232444,0.006744658650108761,0.002761775258216301,0.015739016872871277,0.0016290804822661098,0.016290804822661098,0.01997561475802242,0.000399025184960923,558.4,560.0,ideal_simulation,0.07250922180301163,0.06977246700585663,0.0019124525224662049,0.01912452522466205,1.0,100
0.03209328392719975,0.027210936253867724,ELF-QAE,elf_qae,3.0,679,0.5939847524930477,0.6769238833719292,1.0,100,100,0.058958031617336835,0.03864449746767848,0.012364049239405322,0.059522969644773535,0.00646418789299999,0.0646418789299999,0.08725156891813264,0.007612836278675649,678.0,678.0,ideal_simulation,2.044802615169054,2.056929225715231,0.025200493913666328,0.2520049391366633,1.0,100
0.007617978001587118,0.005217796702275568,IQAE,iqae,13.0,679,0.5869563257595436,0.6017560625907775,6.0,100,100,0.012880014182123279,0.008663967018432413,0.003718270998777953,0.018041490794435677,0.0016576116262830988,0.016576116262830988,0.020926412004617458,0.0004379147193869977,576.5,585.0,ideal_simulation,0.07391461345595078,0.07116281377493347,0.0020671645211650077,0.020671645211650075,1.0,100
0.01184666302938377,0.007867635232992942,BAE,bae,11.0,720,0.5860030405421792,0.6050290419433202,5.0,100,100,0.022227208771321644,0.013050733519912719,0.0069606381943484435,0.02349266925549499,0.003673676987460822,0.03673676987460822,0.042780172603387664,0.0018301431679756406,444.8,430.0,ideal_simulation,0.8844324658573883,0.18850804051228384,0.694426912373255,6.944269123732551,1.0,100
0.004916802622942208,0.0033810164490139516,BIQAE,biqae,15.0,720,0.5856163452554294,0.606915387328772,7.0,100,100,0.008568184924181514,0.00614402740312028,0.00284453408552582,0.011485750803711482,0.0007692990365698476,0.007692990365698476,0.01148930253122589,0.00013200407265403363,613.7,620.0,ideal_simulation,0.08871806188057725,0.083611749161281,0.0031482621023341865,0.031482621023341865,1.0,100
0.006123236464403885,0.004201003940171422,CABIQAE_latentt,cabiqae_latentt,19.0,720,0.5864036608561402,0.6066663326968895,9.0,100,100,0.011372377899009247,0.006490934521821652,0.00286753488521902,0.014341918549624143,0.0015644540597388502,0.0156445405973885,0.01927783994840131,0.0003716351130761775,579.7,590.0,ideal_simulation,0.07545094704077773,0.0729889524157728,0.002076760368520179,0.020767603685201794,1.0,100
0.03191075983615812,0.027210936253867612,ELF-QAE,elf_qae,3.0,720,0.5940680608110429,0.6769238833719292,1.0,100,100,0.058589105587519404,0.03864449746767895,0.011432615240820454,0.05952296964477341,0.00649234908759015,0.0649234908759015,0.08721004738207423,0.007605592364383632,717.0,717.0,ideal_simulation,2.1624240045371854,2.1752481634776117,0.026650079846753327,0.2665007984675333,1.0,100
0.006862912782665709,0.004916335433089197,IQAE,iqae,15.0,720,0.587602944253535,0.6066149069075566,7.0,100,100,0.011741879768997186,0.007669209213253363,0.0037512570251080233,0.01591091827180827,0.0015823558869857632,0.015823558869857632,0.019640593312432213,0.00038575290566435693,620.4,640.0,ideal_simulation,0.0792343642570381,0.07626067493062058,0.0020124203764508653,0.020124203764508655,1.0,100
0.011737502476570802,0.007714623116085395,BAE,bae,12.0,763,0.5861122010949922,0.6050290419433202,5.5,100,100,0.02204697666419574,0.012437142238541397,0.006316141835624647,0.02349266925549499,0.0036779045907226722,0.03677904590722672,0.04272283248684505,0.0018252404156990228,449.0,440.0,ideal_simulation,0.8860582644501811,0.19197846609911634,0.694410829143239,6.94410829143239,1.0,100
0.004721733810594507,0.003152952089483352,BIQAE,biqae,15.0,763,0.5855930137495018,0.6064565986132657,7.0,100,100,0.008285859298699771,0.005518165366385212,0.0024559837800528757,0.012081886578656309,0.0007711172363195435,0.007711172363195434,0.011292609164431823,0.00012752302174060958,640.7,640.0,ideal_simulation,0.09247084519900667,0.08846325064244384,0.003166633561746484,0.03166633561746484,1.0,100
0.0057724355624095055,0.004201003940171422,CABIQAE_latentt,cabiqae_latentt,19.0,763,0.5865239702373266,0.6066663326968895,9.0,100,100,0.010847405467421472,0.0068967962468343275,0.0030581883283286398,0.013122011239339995,0.0015342058649432757,0.015342058649432756,0.018726750421289146,0.00035069118134125325,633.0,650.0,ideal_simulation,0.08206158983274665,0.07905296854129845,0.0021378075827530258,0.02137807582753026,1.0,100
0.03191466738153151,0.027210936253867724,ELF-QAE,elf_qae,3.0,763,0.5940017179511574,0.6769238833719292,1.0,100,100,0.058572777407805955,0.038644497467671145,0.011931002376703467,0.05952296964477341,0.006487569279181192,0.06487569279181192,0.08716385267603632,0.007597537213329766,762.0,762.0,ideal_simulation,2.298140992269645,2.3117700147418967,0.028322679000315255,0.28322679000315254,1.0,100
0.006430098352138631,0.00482078132415753,IQAE,iqae,15.0,763,0.5881872284924904,0.6063581933478206,7.0,100,100,0.011007665329561125,0.007353674794642492,0.0034560794688784156,0.01486505274065398,0.001560537053304034,0.01560537053304034,0.019033155534129667,0.00036226100958637077,663.5,670.0,ideal_simulation,0.0844266612014733,0.08149468886969258,0.0019412049285436148,0.019412049285436148,1.0,100
0.011273095035362321,0.006705917413258822,BAE,bae,13.0,808,0.5856701143403259,0.6050290419433202,6.0,100,100,0.021161951882237618,0.011736657635666684,0.004633176721005351,0.02349266925549499,0.0036537660798840015,0.036537660798840015,0.04206517392749874,0.0017694788575507198,472.0,460.0,ideal_simulation,1.8942985776364738,0.19928411142504177,1.6952404645886325,16.952404645886325,1.0,100
