a_sampling,a_sampling_repetition,a_true,abs_error,algorithm,algorithm_key,amplification_factor,budget,classical_samples,estimate,grover_power,k_max_budget,noise_bias,normalized_abs_error,normalized_sq_error,objective_ry_offset,query_budget,query_budget_actual,repetition,run_kind,runtime_wall_seconds,sample_model,sampling_grover_power,sampling_probability_se,sampling_probability_shots,sampling_probability_source,step_index,successes,time_to_budget_seconds
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.011797507169587107,Classical MC,classical_mc,1,2048,2048,0.3720703125,0,0,0.0057170837759145665,0.032746038543673577,0.0010723030403037555,0.3,2048.0,2048.0,3,hardware_classical_monte_carlo,1.3999990187585354e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,3,762,1.3999990187585354e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.017656882169587107,Classical MC,classical_mc,1,4096,4096,0.3779296875,0,0,0.0057170837759145665,0.04900975568609363,0.0024019561524105866,0.3,4096.0,4096.0,3,hardware_classical_monte_carlo,1.759998849593103e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,4,1548,1.759998849593103e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.014483054044587107,Classical MC,classical_mc,1,8192,8192,0.374755859375,0,0,0.0057170837759145665,0.04020024223394943,0.0016160594756682118,0.3,8192.0,8192.0,3,hardware_classical_monte_carlo,2.0799983758479357e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,5,3070,2.0799983758479357e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.006426413419587107,Classical MC,classical_mc,1,16384,16384,0.36669921875,0,0,0.0057170837759145665,0.017837631163121856,0.00031818108551157596,0.3,16384.0,16384.0,3,hardware_classical_monte_carlo,2.6299996534362435e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,6,6008,2.6299996534362435e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.007341940763337107,Classical MC,classical_mc,1,32768,32768,0.36761474609375,0,0,0.0057170837759145665,0.02037883696662499,0.0004152969961122812,0.3,32768.0,32768.0,3,hardware_classical_monte_carlo,2.9999995604157448e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,7,12046,2.9999995604157448e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.007479269864899607,Classical MC,classical_mc,1,65536,65536,0.3677520751953125,0,0,0.0057170837759145665,0.02076001783715046,0.00043097834059880523,0.3,65536.0,65536.0,3,hardware_classical_monte_carlo,3.339999238960445e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,8,24101,3.339999238960445e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.04207094466958711,Classical MC,classical_mc,1,256,256,0.40234375,0,0,0.0057170837759145665,0.11677524377951053,0.013636457559764111,0.3,256.0,256.0,4,hardware_classical_monte_carlo,3.2999960239976645e-06,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,0,103,3.2999960239976645e-06
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.03816469466958711,Classical MC,classical_mc,1,512,512,0.3984375,0,0,0.0057170837759145665,0.10593276568456383,0.011221750845580705,0.3,512.0,512.0,4,hardware_classical_monte_carlo,8.000002708286047e-06,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,1,204,8.000002708286047e-06
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.013750632169587107,Classical MC,classical_mc,1,1024,1024,0.3740234375,0,0,0.0057170837759145665,0.03816727759114693,0.0014567410787196665,0.3,1024.0,1024.0,4,hardware_classical_monte_carlo,1.1500000255182385e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,2,383,1.1500000255182385e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.010820944669587107,Classical MC,classical_mc,1,2048,2048,0.37109375,0,0,0.0057170837759145665,0.0300354190199369,0.0009021263957031873,0.3,2048.0,2048.0,4,hardware_classical_monte_carlo,1.4699995517730713e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,3,760,1.4699995517730713e-05
