a_sampling,a_sampling_repetition,a_true,algorithm,algorithm_key,final_abs_error,final_estimate,final_normalized_abs_error,final_queries,objective_ry_offset,repetition,run_kind,runtime_wall_seconds,sample_model,sampling_grover_power,sampling_probability_se,sampling_probability_shots,sampling_probability_source
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.006167014005524607,0.3664398193359375,0.0171176228521293,65536.0,0.3,139,hardware_classical_monte_carlo,2.8700014809146523e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.004946310880524607,0.3652191162109375,0.013729348447458456,65536.0,0.3,140,hardware_classical_monte_carlo,2.8700014809146523e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.004396994474274607,0.3646697998046875,0.012204624965356577,65536.0,0.3,141,hardware_classical_monte_carlo,2.9000017093494534e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.008806784513337107,0.36907958984375,0.024444766252230004,65536.0,0.3,142,hardware_classical_monte_carlo,2.8700014809146523e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.001665671232087107,0.3619384765625,0.004623360984905561,65536.0,0.3,143,hardware_classical_monte_carlo,3.6200013710185885e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.001299460294587107,0.361572265625,0.003606878663504307,65536.0,0.3,144,hardware_classical_monte_carlo,2.9000017093494534e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.005480368497712107,0.365753173828125,0.015211718499501951,65536.0,0.3,145,hardware_classical_monte_carlo,3.100000321865082e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.004961569669587107,0.365234375,0.013771701877516841,65536.0,0.3,146,hardware_classical_monte_carlo,3.0399998649954796e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.003527243497712107,0.363800048828125,0.0097904794520286,65536.0,0.3,147,hardware_classical_monte_carlo,2.859998494386673e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.004351218107087107,0.3646240234375,0.01207756467518142,65536.0,0.3,148,hardware_classical_monte_carlo,3.0199997127056122e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.004595358732087107,0.3648681640625,0.01275521955611559,65536.0,0.3,149,hardware_classical_monte_carlo,2.8700014809146523e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
